age_range,stage,domain,activity,goal,difficulty_level
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Match uppercase and lowercase letters,Understand letter pairs and forms,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Identify letters in their own name card,Reinforce personal letter recognition,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Listen and repeat rhyming words,Develop phonological awareness,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Identify letters in simple story sentences,Reinforce letter recognition in context,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Match letters with magnetic letters on board,Enhance interactive letter recognition,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Identify letters in song lyrics,Combine literacy with music for learning,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Trace letters in finger paint,Strengthen sensory letter formation,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Point to letters when teacher reads,Enhance print awareness and attention,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Recognize familiar letters in environmental print,Connect letters to real-world objects,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Match letters to beginning sounds of objects,Develop letter-sound association,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Identify letters in playful alphabet games,Reinforce learning through play,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Listen to stories and point to letters,Combine listening with visual letter recognition,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Recognize letters in favorite storybooks,Reinforce letter identification in context,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Trace letters with a pencil on dotted lines,Develop fine motor skills and letter formation,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Match letters to corresponding picture cards,Strengthen letter-sound association,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Point out letters in classroom labels and signs,Increase print awareness,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Identify letters in alphabet puzzles,Develop visual recognition and problem-solving skills,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Recognize letters in magnetic letters activity,Enhance tactile and visual letter recognition,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Listen to rhymes and identify first letters,Develop phonological awareness,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Match uppercase to lowercase letters,Understand letter correspondence,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Identify letters in flashcards and say their sounds,Reinforce letter-sound knowledge,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Trace letters with crayons on textured paper,Enhance tactile learning of letters,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Point out letters in songs and nursery rhymes,Combine music with letter recognition,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Match letters with objects that start with that letter,Develop initial sound recognition,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Recognize letters in simple environmental print,Connect letters to everyday life,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Point to letters when teacher reads aloud,Strengthen print awareness and attention,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Identify letters in their own name in different formats,Enhance personalized letter recognition,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Trace letters using finger paint or sand,Strengthen sensory learning and fine motor skills,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Match letters with similar sounding words,Develop letter-sound correspondence,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Recognize letters in familiar story sentences,Reinforce literacy in context,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Point to letters in alphabet charts,Enhance letter recognition and visual attention,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Identify letters in playful storytelling activities,Combine literacy with interactive play,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Recognize letters in environmental signs during walks,Connect letters to real-world context,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Listen to stories and point out letters in pictures,Combine listening with visual letter identification,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Identify letters in letter-matching board games,Reinforce learning through interactive play,medium
3-4,Kindergarten Prep / Early Kindergarten,early reading / literacy,Match letters to corresponding objects during play,Strengthen letter recognition and sound association,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Color simple shapes with crayons,Develop fine motor skills and color recognition,easy
3-4,Kindergarten Prep / Early Kindergarten,art and music,Sing simple songs with actions,"Enhance memory, rhythm, and coordination",easy
3-4,Kindergarten Prep / Early Kindergarten,art and music,Use scissors to cut along simple lines with help,Improve hand-eye coordination and fine motor skills,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Finger paint on paper,Encourage creativity and sensory exploration,easy
3-4,Kindergarten Prep / Early Kindergarten,art and music,Create simple rhythm patterns using clapping,Develop sense of rhythm and timing,easy
3-4,Kindergarten Prep / Early Kindergarten,art and music,Draw shapes and color within lines,Improve precision and spatial awareness,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Play simple percussion instruments,Enhance auditory discrimination and coordination,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Sing alphabet or counting songs,Combine music with early literacy or numeracy,easy
3-4,Kindergarten Prep / Early Kindergarten,art and music,Create simple patterns with colored blocks,Develop creativity and pattern recognition,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Draw people using basic shapes,Introduce representation in art,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Color with markers or crayons freely,Encourage creativity and color exploration,easy
3-4,Kindergarten Prep / Early Kindergarten,art and music,Sing call-and-response songs,Enhance listening skills and memory,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Make simple collages using paper and glue,Develop creativity and fine motor coordination,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Play rhythm games with sticks or shakers,"Improve timing, coordination, and focus",medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Trace lines and simple shapes on paper,Strengthen hand control and pre-writing skills,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Create handprint or footprint art,Encourage sensory exploration and creativity,easy
3-4,Kindergarten Prep / Early Kindergarten,art and music,Play simple rhythm patterns on tabletop drums,Develop coordination and rhythm recognition,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Create simple drawings of animals,Enhance observation and creativity,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Sing simple songs with hand movements,Develop coordination and memory,easy
3-4,Kindergarten Prep / Early Kindergarten,art and music,Create patterns using stickers or stamps,Encourage creativity and pattern recognition,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Draw simple objects from the environment,Develop observation and representation skills,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Play musical instruments to follow tempo,Develop rhythm and listening skills,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Color simple patterns in coloring sheets,"Enhance focus, color recognition, and hand control",medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Create basic 3D shapes using playdough,Strengthen fine motor and spatial skills,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Participate in simple group movement songs,Combine music with physical coordination,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Mix two colors using paint,Explore color blending and creativity,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Make simple paper crafts,Develop fine motor skills and creativity,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Draw shapes and decorate them,Combine creativity with shape recognition,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Sing action rhymes with gestures,Enhance coordination and memory,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Create collages using natural materials,Encourage creativity and sensory exploration,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Trace letters and shapes in sand,Enhance tactile learning and fine motor skills,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Draw self-portraits with simple features,Develop observation and drawing skills,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Play rhythm games with hands or instruments,Develop sense of beat and coordination,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Decorate shapes with stickers or stamps,Enhance creativity and fine motor skills,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Use paintbrush to create strokes and patterns,Develop fine motor control and creativity,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Play musical instruments following teacher cues,Enhance listening skills and coordination,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Draw simple animals and objects from imagination,Encourage creative expression,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Participate in group singing with gestures,Promote social interaction and rhythm skills,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Create patterns using colored pencils,Develop observation and creativity,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Make simple paper fans or origami shapes,Strengthen hand coordination and creativity,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Draw people and basic objects using shapes,Develop spatial understanding and observation,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Play call-and-response music games,"Enhance listening, memory, and rhythm skills",medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Decorate simple shapes using paints or crayons,Encourage artistic creativity,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Create simple story illustrations with drawings,Develop imagination and storytelling skills,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Trace and color geometric shapes,Strengthen fine motor skills and shape recognition,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Participate in movement-based music activities,Combine music and physical coordination,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Create textured artwork using materials like sand or fabric,Enhance sensory and creative experiences,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Draw and color a simple garden scene,Encourage observation and creativity,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Play simple musical patterns with rhythm sticks,Develop musical timing and coordination,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Make simple paper chains or decorations,Enhance creativity and fine motor skills,medium
3-4,Kindergarten Prep / Early Kindergarten,art and music,Paint or color simple seasonal objects,Develop color recognition and seasonal awareness,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Take turns in simple group games,Develop patience and sharing skills,easy
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Express emotions using facial expressions or words,Recognize and communicate feelings,easy
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Follow classroom rules during play,Understand structure and self-control,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Comfort a peer who is upset,Develop empathy and kindness,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Participate in cooperative building activities,Enhance teamwork and collaboration,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Share toys during group play,Encourage sharing and fairness,easy
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Recognize emotions in story characters,Develop empathy and understanding,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Participate in group decision-making games,Enhance cooperation and negotiation skills,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Express likes and dislikes respectfully,Develop self-expression and assertiveness,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Follow simple group instructions,Enhance listening and compliance skills,easy
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Help clean up after activities,Develop responsibility and teamwork,easy
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Role-play different social situations,Practice problem-solving and empathy,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Show patience while waiting for a turn,Develop self-regulation and impulse control,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Give compliments to peers,Encourage positive social interactions,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Identify feelings from facial expressions,Strengthen emotional recognition,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Express needs and wants using words,Develop communication and self-advocacy,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Play cooperative games with simple rules,Enhance teamwork and social problem-solving,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Recognize when a peer is happy or sad,Develop empathy and social awareness,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Take responsibility for personal belongings,Build independence and self-care habits,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Engage in pretend play with peers,Foster imagination and cooperative skills,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Listen to and respond to peer ideas,Enhance listening and collaboration,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Participate in group clean-up activities,Develop teamwork and responsibility,easy
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Show empathy by helping peers in need,Encourage caring and supportive behavior,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Participate in turn-taking circle games,"Enhance patience, cooperation, and social skills",medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Practice self-control when excited,Develop emotional regulation,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Express gratitude to peers or teachers,Encourage positive social interactions,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Discuss feelings after a group activity,Develop self-awareness and emotional literacy,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Play role-play games to solve conflicts,Build problem-solving and negotiation skills,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Take turns sharing favorite toys or stories,Enhance sharing and communication skills,easy
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Recognize when someone is feeling left out,Develop empathy and inclusivity,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Apologize after accidental mistakes,Learn responsibility and social manners,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Offer help to peers during group tasks,Encourage cooperation and empathy,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Participate in group storytelling activities,Develop collaboration and creativity,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Share personal experiences during circle time,Enhance communication and confidence,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Work with a partner on a building project,Practice teamwork and cooperation,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Follow multi-step group instructions,Improve listening and teamwork skills,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Praise peers for good behavior or work,Foster positive reinforcement and social skills,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Participate in role-play of family/community roles,Understand social roles and empathy,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Share ideas during group art projects,Encourage collaboration and creativity,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Express feelings through drawing or storytelling,Develop emotional awareness and expression,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Take responsibility for completing simple tasks,Build independence and accountability,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Offer solutions during group conflicts,Develop problem-solving and negotiation skills,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Show patience when waiting for a turn in games,Enhance self-regulation and social cooperation,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Compliment peers’ creative work,Encourage positive social interactions,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Participate in group clean-up songs or games,Combine teamwork with fun activities,easy
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Show concern when a peer is hurt,Develop empathy and caring behaviors,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Participate in partner games and activities,Promote cooperation and social skills,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Practice self-calming techniques when frustrated,Develop emotional regulation and coping skills,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Encourage friends to join activities,Foster inclusivity and social connection,medium
3-4,Kindergarten Prep / Early Kindergarten,social and emotional,Share feelings about completed projects,Build self-expression and confidence,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Hop on one foot for 5 seconds,Develop balance and coordination,easy
3-4,Kindergarten Prep / Early Kindergarten,physical education,Throw a ball at a target,Enhance hand-eye coordination,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Run around an obstacle course,Improve gross motor skills and agility,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Balance on a beam with assistance,Develop core strength and balance,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Kick a stationary ball,Enhance coordination and leg strength,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Climb a small ladder or steps,Improve upper and lower body strength,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Catch a large soft ball,Develop hand-eye coordination,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Skip forward using alternate feet,Enhance coordination and rhythm,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Jump over small objects,Develop leg strength and agility,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Crawl under or over obstacles,Enhance body awareness and coordination,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Play simple tag games,Improve cardiovascular fitness and social interaction,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Throw and catch beanbags,Develop hand-eye coordination,easy
3-4,Kindergarten Prep / Early Kindergarten,physical education,Walk along a line on the floor,Enhance balance and focus,easy
3-4,Kindergarten Prep / Early Kindergarten,physical education,Hopscotch with numbers,"Combine balance, counting, and coordination",medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Move arms and legs in rhythm with music,Enhance motor planning and rhythm skills,easy
3-4,Kindergarten Prep / Early Kindergarten,physical education,Roll a ball back and forth with a partner,Develop coordination and cooperation,easy
3-4,Kindergarten Prep / Early Kindergarten,physical education,Jump in place with two feet together,Improve leg strength and balance,easy
3-4,Kindergarten Prep / Early Kindergarten,physical education,Walk backward along a line,Enhance coordination and balance,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Climb stairs alternating feet,Develop leg strength and coordination,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Balance on one foot with support,Strengthen core and leg muscles,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Play catch with a large soft ball,Enhance hand-eye coordination,easy
3-4,Kindergarten Prep / Early Kindergarten,physical education,Perform simple stretching exercises,Improve flexibility and body awareness,easy
3-4,Kindergarten Prep / Early Kindergarten,physical education,Run in different directions on cue,Enhance agility and listening skills,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Follow simple movement sequences,"Develop memory, coordination, and focus",medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Jump over small obstacles sequentially,"Improve agility, balance, and confidence",medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Hop over a rope on the ground,Develop coordination and balance,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Walk sideways along a line,Enhance lateral movement and balance,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Catch a rolling ball with both hands,Improve hand-eye coordination,easy
3-4,Kindergarten Prep / Early Kindergarten,physical education,Run through a tunnel or obstacle,Develop agility and gross motor skills,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Jump forward with both feet together,Enhance leg strength and coordination,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Kick a moving ball,"Improve timing, coordination, and focus",medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Balance on a soft mat for 10 seconds,Strengthen core and stability,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Jump side to side over small objects,Develop agility and coordination,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Run in a zigzag pattern,Enhance spatial awareness and agility,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,"Perform simple animal movements (crawl like a bear, hop like a frog)",Enhance gross motor skills and imagination,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Throw and catch a balloon,Develop hand-eye coordination safely,easy
3-4,Kindergarten Prep / Early Kindergarten,physical education,Hop on one foot in a sequence of 3–5 hops,Strengthen balance and leg muscles,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,"Walk forward, backward, and sideways along a line",Develop coordination and body awareness,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Perform stretching exercises with music,Improve flexibility and rhythm,easy
3-4,Kindergarten Prep / Early Kindergarten,physical education,Move over balance beams without falling,Enhance balance and concentration,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Throw objects into a basket from a short distance,"Develop aim, coordination, and accuracy",medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Perform jumping jacks with guidance,Improve gross motor skills and rhythm,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Walk on tiptoes along a line,Enhance balance and body awareness,medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Play simple relay races with peers,"Develop speed, coordination, and teamwork",medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Balance on one leg while counting aloud,"Combine focus, balance, and coordination",medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Move to music with changing tempo,"Enhance rhythm, listening, and coordination",medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Climb small climbing structures with guidance,"Develop strength, coordination, and confidence",medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Hop on a colored mat sequence,"Combine balance, coordination, and color recognition",medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Participate in simple yoga poses with guidance,"Enhance flexibility, balance, and concentration",medium
3-4,Kindergarten Prep / Early Kindergarten,physical education,Crawl under or over soft obstacles sequentially,Develop coordination and spatial awareness,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,"Observe changes in weather (sunny, rainy, cloudy)",Develop awareness of daily weather patterns,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Plant a seed in soil and water it,Understand plant growth and care,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,"Identify basic parts of a plant (root, stem, leaf)",Introduce basic plant anatomy,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Observe day and night changes,Develop understanding of daily cycles,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Collect and sort leaves by size or color,Encourage observation and classification,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Observe insects in the garden,Develop curiosity about animals,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Explore floating and sinking objects in water,Introduce basic physical science concepts,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Watch ice melt in a cup,Observe changes in states of matter,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Match animals to their habitats,Learn about different environments,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Identify day/night animals,Understand animal behaviors,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Sort objects as natural or man-made,Introduce environmental awareness,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Observe the moon in the sky,Encourage curiosity about space,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Watch seeds sprout over several days,Understand growth and change over time,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Sort objects by texture (smooth/rough),Develop observational skills,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Observe shadows in the playground,Understand sunlight and shadow formation,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Listen to different animal sounds,Develop auditory observation skills,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Observe changes in leaves over seasons,Introduce seasonal changes,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Explore magnets with objects,Learn basic magnetic properties,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,"Observe simple cause-effect experiments (pouring water, mixing colors)",Introduce scientific observation,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,"Identify basic weather symbols (sun, cloud, rain)",Understand weather representation,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Observe moving water in a stream or faucet,Understand flow and movement,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,"Sort animals by land, water, or air",Learn habitat classification,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Observe simple cloud patterns,Introduce basic meteorology concepts,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,"Touch and explore different natural materials (sand, soil, water)",Develop sensory and observational skills,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Observe insects’ movement in the garden,Encourage curiosity and attention to nature,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Observe which objects float or sink in water,Understand basic principles of buoyancy,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Identify common plants and flowers in surroundings,Enhance recognition of flora,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Observe ants or insects collecting food,Learn about animal behavior and teamwork,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Watch water evaporate from a shallow dish,Introduce concept of evaporation,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Match animals to the food they eat,Understand basic animal diets,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Observe day/night sky changes with adult guidance,Develop awareness of daily celestial cycles,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Identify natural versus man-made objects outdoors,Promote environmental awareness,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,"Touch and describe textures of leaves, stones, and bark",Enhance sensory observation skills,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Observe how shadows change during the day,Understand movement of the sun and shadow formation,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,"Classify rocks by size, shape, or color",Introduce basic geological observation,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Observe insects crawling on plants,Develop curiosity and attention to small creatures,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Watch how water moves when poured from one container to another,Introduce basic concepts of liquids and flow,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,"Observe simple wind effects (moving leaves, paper)",Understand wind and its effects,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Identify shapes in clouds,Develop imagination and observation skills,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Compare the weight of small objects using hands,Introduce concepts of heavy and light,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Observe plants with different leaf colors,Understand variety in nature,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Identify animals that live in water,Learn about aquatic habitats,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Observe insects moving in soil,Encourage curiosity about soil life,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Identify animals that live on land,Learn about terrestrial habitats,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Observe simple chemical reactions (vinegar and baking soda),Introduce cause-effect in experiments,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Watch how ice melts at room temperature,Understand melting and changes in state,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Observe shadows of different objects,Learn about shapes and sunlight,easy
3-4,Kindergarten Prep / Early Kindergarten,science/environment,"Collect and identify natural objects (stones, leaves, twigs)",Develop observation and classification skills,medium
3-4,Kindergarten Prep / Early Kindergarten,science/environment,Observe rain falling and puddle formation,Understand simple natural processes,easy
4-5,Kindergarten / Pre-Primary,reading,Identify letters in simple words,Recognize letters and start blending sounds,easy
4-5,Kindergarten / Pre-Primary,reading,"Blend sounds to form simple CVC words (cat, dog)",Develop early decoding skills,medium
4-5,Kindergarten / Pre-Primary,reading,"Recognize common sight words (like 'the', 'and')",Build word recognition and fluency,medium
4-5,Kindergarten / Pre-Primary,reading,Read simple storybooks with repetitive words,Develop early reading confidence,medium
4-5,Kindergarten / Pre-Primary,reading,Identify letters in their own name and classmates’ names,Recognize familiar words in context,easy
4-5,Kindergarten / Pre-Primary,reading,Point to words while reading a story,Develop tracking skills for reading,easy
4-5,Kindergarten / Pre-Primary,reading,Recognize letters and sounds in simple environmental print,Connect letters to the real world,easy
