age_month,domain,parent_learning_goal,skill_name,why_it_matters,how_to_teach,parent_dos,parent_donts,parent_tip
37-39,sleep,Maintain consistent wake-up times.,Keeping morning routines steady,Regular wake times stabilize sleep cycles.,Wake the child at a similar time daily.,['Keep wake time consistent'],['Let wake time vary widely'],Morning consistency improves nights.
37-39,sleep,Limit pre-bed stimulation.,Reducing active play before bedtime,High activity delays sleep onset.,Shift to calm activities 30 minutes before bed.,['Choose calm play'],['Encourage rough play'],Calm bodies fall asleep faster.
37-39,sleep,Support healthy screen habits.,Stopping screen use before bedtime,Screens interfere with sleep hormones.,Turn off screens at least one hour before bed.,['Set screen cutoff'],['Allow screens at bedtime'],Screens delay sleep.
37-39,sleep,Respond calmly to nighttime awakenings.,Providing brief reassurance without stimulation,Calm responses help the child return to sleep.,Reassure quietly and keep lights low.,['Stay calm'],['Fully wake the child'],Low stimulation supports quick return to sleep.
37-39,hygiene,Build independent handwashing habits.,Washing hands without reminders,Independence reduces illness and builds responsibility.,"Prompt once, then let the child complete the steps alone.",['Encourage independence'],['Do it for the child'],Practice builds habit.
37-39,hygiene,Ensure proper handwashing technique.,Using soap and scrubbing thoroughly,Proper technique removes germs effectively.,"Demonstrate scrubbing palms, backs, and between fingers.",['Model technique'],['Rush washing'],Technique matters.
37-39,hygiene,Encourage adequate washing time.,Washing hands for sufficient duration,Longer washing improves cleanliness.,Sing a short song while washing hands.,['Use songs or timers'],['Allow quick rinses'],Time improves hygiene.
37-39,hygiene,Promote hygiene after play.,Washing hands after outdoor activities,Outdoor play increases germ exposure.,Make handwashing the first step after coming inside.,['Link washing to routine'],['Skip after play'],Routine protects health.
37-39,hygiene,Support independent bathroom hygiene.,Cleaning hands after toilet use,Post-toilet hygiene prevents infection.,Guide verbally without physically intervening.,['Guide verbally'],['Overassist'],Independence builds confidence.
37-39,hygiene,Encourage personal responsibility for cleanliness.,Noticing when hands are dirty,Self-awareness supports self-care.,Ask the child to check their hands before meals.,['Prompt awareness'],['Ignore dirt cues'],Awareness leads to action.
37-39,hygiene,Build comfort with hygiene routines.,Approaching handwashing without resistance,Positive routines reduce daily struggles.,Keep tone light and supportive during washing.,['Stay positive'],['Scold during hygiene'],Positive tone encourages cooperation.
37-39,hygiene,Encourage use of personal hygiene supplies.,Using own towel to dry hands,Personal items reduce germ spread.,Assign and label a personal hand towel.,['Use personal items'],['Share towels'],Personal items protect health.
37-39,hygiene,Maintain hygiene consistency across settings.,Washing hands in public places,Consistency reinforces habits.,Practice handwashing in public restrooms together.,['Practice outside home'],['Skip in public'],Habits travel with the child.
37-39,hygiene,Support routine-based hygiene habits.,Remembering handwashing before meals,Routine timing improves habit retention.,Cue handwashing before every meal consistently.,['Use routine cues'],['Be inconsistent'],Routine makes habits stick.
37-39,behavior,Support patience during daily routines.,Waiting briefly for turns or attention,Patience helps children function better in group settings.,Ask the child to wait for short periods and gradually increase time.,['Praise waiting'],['Rush to respond immediately'],Small waits build patience.
37-39,behavior,Reduce frustration during delays.,Using words instead of reacting impulsively,Verbal expression lowers emotional outbursts.,Prompt simple phrases like “my turn next.”,['Model calm words'],['Ignore verbal attempts'],Words replace reactions.
37-39,behavior,Build emotional regulation skills.,Staying calm when expectations are not met,Emotional control supports social success.,Acknowledge feelings and guide slow breathing.,['Name emotions'],['Dismiss feelings'],Calm is teachable.
37-39,behavior,Encourage flexible thinking.,Accepting changes in plans,Flexibility reduces stress and resistance.,Explain changes calmly and offer alternatives.,['Explain changes'],['Spring surprises abruptly'],Flexibility grows with practice.
37-39,behavior,Support rule-following.,Stopping an activity when asked,Following limits keeps children safe and cooperative.,Use clear cues and consistent follow-through.,['Be consistent'],['Repeat endlessly'],Consistency builds compliance.
37-39,behavior,Strengthen impulse control.,Pausing before acting,Impulse control supports learning and safety.,Practice pause-and-count strategies.,['Practice pauses'],['Expect instant control'],Pausing prevents problems.
37-39,behavior,Reduce tantrum intensity.,Recovering quickly after emotional upset,Faster recovery supports resilience.,Stay nearby and guide calming strategies.,['Stay present'],['Overreact emotionally'],Recovery matters more than perfection.
37-39,behavior,Encourage cooperation.,Following simple behavior expectations,Cooperation supports family harmony.,State expectations clearly before activities.,['State rules clearly'],['Assume understanding'],Clear rules guide behavior.
37-39,behavior,Support emotional expression.,Naming feelings during waiting situations,Labeling emotions reduces behavioral outbursts.,Prompt phrases like “I feel frustrated.”,['Model emotion words'],['Ignore feelings'],Naming feelings reduces tension.
37-39,behavior,Build tolerance for delayed rewards.,Waiting calmly for a desired outcome,Delayed gratification supports self-control.,"Use small, predictable waiting periods.",['Start small'],['Expect long waits'],Tolerance grows gradually.
37-39,language,Encourage descriptive speech.,Using words to describe objects and actions,Descriptive language supports clearer communication.,Ask open-ended questions during play and daily routines.,['Ask open questions'],['Accept only one-word answers'],Descriptions grow with practice.
37-39,language,Expand sentence length.,"Speaking in longer, connected sentences",Longer sentences improve storytelling and understanding.,Model slightly longer sentences for the child to imitate.,['Model expanded speech'],['Correct harshly'],Modeling works better than correction.
37-39,language,Build vocabulary through everyday experiences.,Learning new words during daily routines,Contextual learning strengthens word retention.,Name objects and actions while doing them together.,['Label experiences'],['Use vague words only'],Daily life is the best classroom.
37-39,language,Encourage conversational turn-taking.,Taking turns while speaking,Turn-taking builds social communication skills.,Pause and wait after speaking to invite response.,['Pause and wait'],['Dominate conversation'],Conversation is a two-way process.
37-39,language,Support storytelling abilities.,Describing events in sequence,Sequencing supports narrative and memory skills.,"Ask what happened first, next, and last.",['Use sequence prompts'],['Rush the story'],Stories build thinking.
37-39,language,Improve clarity of speech.,Speaking clearly enough to be understood,Clear speech reduces frustration for child and listener.,Repeat unclear words correctly without criticism.,['Model correct speech'],['Demand perfection'],Clarity improves gradually.
37-39,language,Encourage use of descriptive details.,"Adding size, color, or feeling words",Details enrich communication and expression.,Prompt with questions like “What color?” or “How did it feel?”,['Prompt gently'],['Overquestion'],Details add meaning.
37-39,language,Build confidence in speaking.,Speaking comfortably with familiar adults,Confidence supports later social interactions.,Encourage sharing stories with trusted adults.,['Encourage sharing'],['Interrupt frequently'],Confidence grows with support.
37-39,language,Encourage asking questions.,Using questions to seek information,Questioning supports curiosity and learning.,Model asking simple questions aloud.,['Model curiosity'],['Dismiss questions'],Questions fuel learning.
37-39,language,Support expressive confidence.,Sharing thoughts without prompting,Spontaneous speech reflects language growth.,Create relaxed opportunities for conversation.,['Create safe spaces'],['Force talking'],Comfort leads to expression.
37-39,cognitive,Support early problem-solving skills.,Trying different solutions when faced with difficulty,Problem-solving builds persistence and flexible thinking.,Pause before helping and encourage trying another way.,['Encourage attempts'],['Solve immediately'],Struggle supports learning.
37-39,cognitive,Build cause-and-effect understanding.,Predicting outcomes of simple actions,Prediction strengthens reasoning skills.,Ask what might happen before acting.,['Ask prediction questions'],['Rush activities'],Thinking comes before doing.
37-39,cognitive,Encourage independent thinking.,Making simple choices independently,Decision-making builds confidence and autonomy.,Offer limited choices and respect decisions.,['Respect choices'],['Override unnecessarily'],Choices grow thinking.
37-39,cognitive,Strengthen memory skills.,Recalling recent activities or events,Memory supports learning and communication.,Talk about what happened earlier in the day.,['Review experiences'],['Skip reflection'],Reflection strengthens memory.
37-39,cognitive,Develop planning abilities.,Thinking about steps before starting an activity,Planning improves organization and task success.,"Ask what needs to be done first, then next.",['Encourage planning'],['Rush tasks'],Planning supports success.
37-39,cognitive,Support attention and focus.,Staying engaged in an activity for longer periods,Sustained attention supports learning readiness.,Choose activities that match the child’s interest level.,['Follow interests'],['Overstimulate'],Interest fuels focus.
37-39,cognitive,Encourage flexible thinking.,Trying a new approach when one doesn’t work,Flexibility supports resilience and creativity.,Model trying another method aloud.,['Model flexibility'],['Insist on one way'],Flexibility grows with modeling.
37-39,cognitive,Build classification skills.,Sorting objects by simple categories,Sorting strengthens logic and early math thinking.,"Sort toys by color, size, or type together.",['Sort together'],['Correct constantly'],Sorting builds logic.
37-39,cognitive,Encourage curiosity-driven learning.,Asking why and how questions,Curiosity drives deeper understanding.,Respond thoughtfully and explore answers together.,['Explore answers'],['Dismiss curiosity'],Curiosity fuels learning.
37-39,cognitive,Support persistence in thinking tasks.,Continuing to try after initial failure,Persistence supports long-term learning success.,Praise effort rather than results.,['Praise effort'],['Focus only on outcomes'],Effort matters most.
37-39,motor,Build confidence in jumping skills.,Jumping forward with both feet,"Jumping supports balance, strength, and coordination.",Practice jumping over small lines or objects.,['Practice regularly'],['Rush progress'],Confidence grows with practice.
37-39,motor,Improve body coordination.,Landing safely after a jump,Safe landings reduce injury risk.,Model bending knees when landing.,['Model safe movement'],['Ignore technique'],Safe movement matters.
37-39,motor,Enhance balance skills.,Standing on one foot briefly,Balance supports coordination and posture.,Play balance games like standing on one foot.,['Make it playful'],['Expect long balance times'],Balance improves gradually.
37-39,motor,Support controlled movement.,Stopping movement on cue,Body control supports safety and coordination.,Play stop-and-go movement games.,['Use movement games'],['Overcorrect'],Games build control.
37-39,motor,Build lower-body strength.,Squatting and standing smoothly,Strength supports jumping and climbing.,Encourage squatting during play activities.,['Encourage movement'],['Limit physical play'],Movement builds strength.
37-39,motor,Encourage confident climbing.,Climbing playground equipment safely,Climbing builds coordination and confidence.,Supervise while allowing independent attempts.,['Supervise calmly'],['Overprotect'],Confidence grows through safe risk.
37-39,motor,Improve whole-body coordination.,Coordinating arms and legs during movement,Coordination supports complex physical skills.,"Play activities that involve crawling, jumping, and throwing.",['Offer varied movement'],['Limit activity types'],Variety builds coordination.
37-39,motor,Support endurance in active play.,Staying active without tiring quickly,Endurance supports healthy physical development.,Gradually extend active play time.,['Build endurance slowly'],['Push too hard'],Endurance builds over time.
37-39,motor,Encourage body awareness.,Understanding space around the body,Body awareness supports safe movement.,Play games that involve navigating around obstacles.,['Use obstacle play'],['Ignore spatial cues'],Awareness improves safety.
37-39,motor,Build confidence in physical abilities.,Trying new physical movements willingly,Confidence encourages continued physical growth.,Encourage attempts without pressure.,['Encourage effort'],['Compare to others'],Confidence fuels movement.
37-39,social,Encourage cooperative play with peers.,Playing alongside others with shared materials,Cooperative play builds early teamwork skills.,Provide shared toys and model taking turns.,['Model cooperation'],['Force sharing'],Guided play builds cooperation.
37-39,social,Support turn-taking during play.,Waiting for a turn during group activities,Turn-taking supports social harmony.,Use simple games that require waiting briefly.,['Praise waiting'],['Skip turns'],Turns teach fairness.
37-39,social,Build empathy toward others.,Noticing others’ feelings,Empathy supports positive relationships.,Label emotions seen in others during play.,['Name emotions'],['Ignore feelings'],Empathy starts with awareness.
37-39,social,Encourage respectful interaction.,Using polite words during play,Politeness supports smoother interactions.,Model words like please and thank you.,['Model politeness'],['Demand perfection'],Modeling teaches manners.
37-39,social,Support conflict resolution skills.,Seeking help instead of reacting physically,Healthy conflict handling prevents aggression.,Coach asking an adult for help during conflicts.,['Coach calm help-seeking'],['Ignore conflicts'],Help-seeking is a skill.
37-39,social,Build confidence in group settings.,Joining ongoing play with peers,Entering play supports social confidence.,Prompt simple entry phrases like “Can I play?”,['Prompt gently'],['Push into play'],Confidence grows gradually.
37-39,social,Encourage shared enjoyment.,Laughing and engaging positively with peers,Shared joy strengthens social bonds.,Highlight positive moments during play.,['Highlight positives'],['Focus only on problems'],Joy builds connection.
37-39,social,Support respectful boundaries.,Respecting personal space,Boundaries keep interactions comfortable.,Model and remind about gentle space awareness.,['Model boundaries'],['Allow crowding'],Space awareness builds respect.
37-39,social,Encourage cooperative problem-solving.,Working with peers to solve simple play challenges,Collaboration supports teamwork skills.,Suggest solving play problems together.,['Encourage teamwork'],['Solve for them'],Teamwork grows through practice.
37-39,social,Build social flexibility.,Adjusting play behavior to others’ ideas,Flexibility supports smoother group play.,Model adapting to others’ suggestions.,['Model flexibility'],['Insist on own rules'],Flexibility keeps play enjoyable.
37-39,safety,Teach basic playground safety rules.,Following simple playground rules,Rules reduce injury risk during active play.,Explain and repeat one safety rule before play begins.,['Explain rules clearly'],['Assume understanding'],Clear rules keep play safe.
37-39,safety,Encourage awareness of surroundings.,Watching where they move during play,Awareness prevents collisions and falls.,Gently remind the child to look around before running.,['Prompt awareness'],['Ignore unsafe rushing'],Awareness improves safety.
37-39,safety,Support safe use of equipment.,Using playground equipment as intended,Proper use prevents injuries.,Demonstrate correct use of swings and slides.,['Demonstrate use'],['Allow misuse'],Correct use prevents accidents.
37-39,safety,Build awareness of personal limits.,Stopping when an activity feels unsafe,Knowing limits prevents harm.,Encourage the child to pause and ask for help.,['Encourage asking for help'],['Push beyond limits'],Listening to the body keeps children safe.
37-39,safety,Encourage following adult guidance.,Responding quickly to safety instructions,Quick response prevents accidents.,Practice responding to simple stop or wait cues.,['Practice cues'],['Repeat warnings endlessly'],Fast response improves safety.
37-39,safety,Teach basic road and walking safety.,Staying close to an adult outdoors,Close supervision keeps children safe near traffic.,Practice holding hands or staying within arm’s reach.,['Stay close'],['Allow wandering'],Closeness prevents danger.
37-39,safety,Promote safe peer interactions.,Avoiding rough or unsafe play,Safe play prevents injuries to self and others.,Model gentle play and intervene early.,['Model gentle play'],['Ignore roughness'],Gentle play keeps everyone safe.
37-39,safety,Build hazard recognition.,Identifying obvious dangers,Recognizing danger supports early self-protection.,Point out hazards like slippery surfaces.,['Name hazards'],['Expect guessing'],Naming dangers builds awareness.
37-39,safety,Encourage safe decision-making.,Choosing safe options during play,Decision-making supports injury prevention.,Ask which choice is safer before acting.,['Discuss choices'],['Decide everything for them'],Thinking first prevents harm.
37-39,safety,Maintain safety consistency across settings.,Applying safety rules in new places,Consistency keeps children safe everywhere.,Review rules briefly before entering new environments.,['Review rules ahead'],['Assume transfer automatically'],Safety rules travel with the child.
37-39,independence,Encourage helping with simple household tasks.,Putting toys away after play,Cleaning up builds responsibility and routine awareness.,Make cleanup part of the play ending routine.,['Guide calmly'],['Do it all yourself'],Small responsibilities build independence.
37-39,independence,Support participation in daily chores.,Helping set or clear the table,Chores build contribution and family belonging.,Assign simple tasks like carrying napkins.,['Give simple tasks'],['Expect perfection'],Participation matters more than accuracy.
37-39,independence,Encourage self-initiation of tasks.,Starting a chore with minimal prompting,Initiative supports long-term independence.,Pause before reminding to allow self-starting.,['Allow time'],['Overprompt'],Initiative grows with trust.
37-39,independence,Build confidence in self-help skills.,Completing small tasks independently,Success builds confidence and motivation.,Break tasks into manageable steps.,['Break into steps'],['Overcomplicate'],Small wins matter.
37-39,independence,Encourage responsibility for personal items.,Putting shoes or clothes in the correct place,Managing belongings builds organization skills.,Designate clear places for personal items.,['Use consistent locations'],['Move items silently'],Consistency supports responsibility.
37-39,independence,Support task completion.,Finishing a chore before moving on,Completion builds focus and follow-through.,Gently remind to finish before switching activities.,['Encourage completion'],['Interrupt frequently'],Finish before switching.
37-39,independence,Encourage pride in contribution.,Recognizing own role in helping,Pride motivates continued cooperation.,Acknowledge effort after tasks are done.,['Acknowledge effort'],['Ignore contributions'],Recognition fuels motivation.
37-39,independence,Build routine-based responsibility.,Helping at the same time each day,Routine supports habit formation.,Link chores to daily routines like before dinner.,['Use routine timing'],['Change timing daily'],Routine builds habits.
37-39,independence,Encourage cooperation during chores.,Working alongside an adult on tasks,Shared work builds skills and connection.,Do simple chores together side by side.,['Work together'],['Exclude the child'],Togetherness builds skills.
37-39,independence,Support autonomy while helping.,Accepting guidance without resistance,Guided independence supports learning.,Offer help verbally while allowing control.,['Guide verbally'],['Take over'],Guidance without takeover builds confidence.
37-39,parent self-care & stress management,Manage stress arising from growing child independence.,Recognizing personal stress signals early,Early awareness prevents emotional spillover onto the child.,Pause and name personal stress before responding.,['Notice stress cues'],['Ignore mounting tension'],Awareness comes before regulation.
37-39,parent self-care & stress management,Maintain emotional regulation during challenging moments.,Pausing before reacting to child behavior,Calm responses model emotional control for the child.,Take a deep breath before responding verbally.,['Pause and breathe'],['React impulsively'],Your calm teaches their calm.
37-39,parent self-care & stress management,Prevent burnout from constant supervision.,Scheduling short personal recovery breaks,Regular breaks sustain long-term parenting capacity.,Plan brief rest periods when the child is safely occupied.,['Plan micro-breaks'],['Push through exhaustion'],Rest sustains patience.
37-39,parent self-care & stress management,Balance guidance with child autonomy.,Letting go of unnecessary control,Reduced control lowers stress for both parent and child.,Identify which tasks the child can manage independently.,['Allow autonomy'],['Micromanage'],Autonomy eases tension.
37-39,parent self-care & stress management,Support self-compassion in parenting.,Reframing mistakes as learning moments,Self-compassion prevents guilt-driven stress.,Reflect on what can be adjusted next time without blame.,['Practice self-kindness'],['Self-criticize harshly'],Progress matters more than perfection.
37-39,parent self-care & stress management,Maintain emotional availability.,Checking in with personal emotional needs,Emotionally supported parents respond more effectively.,Briefly note emotions at the end of the day.,['Do emotional check-ins'],['Suppress emotions'],Caring for yourself supports your child.
37-39,parent self-care & stress management,Reduce stress during daily routines.,Simplifying expectations during busy times,Lower expectations reduce unnecessary pressure.,Focus on one priority task at a time.,['Simplify routines'],['Overload schedules'],Simplicity reduces stress.
37-39,parent self-care & stress management,Sustain patience across the day.,Using brief reset techniques,Resets prevent cumulative frustration.,Step away briefly or change activity when overwhelmed.,['Use reset moments'],['Stay stuck in frustration'],Resets restore balance.
37-39,parent self-care & stress management,Manage emotional overload effectively.,Seeking support when needed,Support prevents isolation and burnout.,Reach out to a trusted adult for help or conversation.,['Ask for support'],['Handle everything alone'],Support strengthens resilience.
37-39,parent self-care & stress management,Maintain long-term parenting well-being.,Building regular self-care into routines,Consistent self-care sustains emotional health.,Attach small self-care habits to daily routines.,['Build self-care habits'],['Treat self-care as optional'],Well-being is a priority.
37-39,"parental teamwork, planning & consistency",Align expectations around growing independence.,Discussing autonomy boundaries together,Shared expectations prevent mixed signals to the child.,Review which tasks the child can handle independently.,['Discuss expectations'],['Assume alignment'],Alignment prevents confusion.
37-39,"parental teamwork, planning & consistency",Coordinate supervision effectively.,Planning shared supervision roles,Clear roles reduce gaps and tension.,Decide who supervises during specific routines.,['Clarify roles'],['Overlap or neglect roles'],Clear roles support calm parenting.
37-39,"parental teamwork, planning & consistency",Respond consistently to behavior.,Using agreed responses to common behaviors,Consistency strengthens learning and security.,Agree on responses to frequent behaviors in advance.,['Align responses'],['Contradict each other'],Consistency builds trust.
37-39,"parental teamwork, planning & consistency",Maintain routine stability across caregivers.,Keeping routines consistent between adults,Stable routines reduce confusion and resistance.,Document and share daily routines.,['Share routines'],['Change routines casually'],Stability supports cooperation.
37-39,"parental teamwork, planning & consistency",Improve communication during busy periods.,Checking in briefly before transitions,Quick check-ins prevent miscommunication.,Exchange key notes before transitions or outings.,['Do quick check-ins'],['Assume the other knows'],Brief communication prevents issues.
37-39,"parental teamwork, planning & consistency",Support unified limit-setting.,Backing each other’s decisions,Unified limits prevent boundary testing.,"Address disagreements privately, not in front of the child.",['Support publicly'],['Undermine decisions'],Unity strengthens boundaries.
37-39,"parental teamwork, planning & consistency",Plan for predictable challenges.,Anticipating and preparing for difficult moments,Preparation reduces reactive parenting.,Discuss upcoming challenges and plan responses.,['Plan ahead'],['React without planning'],Preparation brings calm.
37-39,"parental teamwork, planning & consistency",Maintain ongoing communication.,Regularly reviewing what’s working and what’s not,Ongoing review keeps parenting aligned as needs change.,Schedule short weekly check-ins.,['Review regularly'],['Avoid conversations'],Review keeps alignment strong.
37-39,"parental teamwork, planning & consistency",Reduce tension after disagreements.,Repairing alignment after conflicts,Repair restores emotional safety and consistency.,Acknowledge differences and reset shared plans.,['Repair quickly'],['Hold grudges'],Repair strengthens teamwork.
37-39,"parental teamwork, planning & consistency",Sustain long-term teamwork.,Reinforcing shared parenting values,Shared values guide consistent decisions over time.,Revisit core parenting values periodically.,['Revisit values'],['Let values drift'],Values anchor teamwork.
40-42,feeding,Build awareness of appropriate portion sizes.,Recognizing when a portion is enough,Portion awareness supports healthy eating habits and self-regulation.,Serve small portions first and allow seconds if still hungry.,['Start with small portions'],['Overfill the plate'],"Less first, more if needed."
40-42,feeding,Support listening to hunger and fullness cues.,Stopping eating when feeling full,Responding to fullness prevents overeating.,Ask how their tummy feels during meals.,['Ask about fullness'],['Insist on finishing food'],The body knows best.
40-42,feeding,Encourage balanced meals.,Including different food groups on the plate,Balanced meals support growth and energy.,Point out colors and food groups during serving.,['Offer variety'],['Serve only favorites'],Balance beats volume.
40-42,feeding,Reduce pressure around eating amounts.,Letting the child decide how much to eat,Autonomy reduces mealtime power struggles.,Provide healthy options and allow choice in quantity.,['Respect appetite'],['Control intake'],Trust appetite cues.
40-42,feeding,Prevent overeating through pacing.,Eating slowly during meals,Slow eating helps the body register fullness.,Pause between bites and talk calmly at the table.,['Encourage slow bites'],['Rush meals'],Slow eating supports fullness.
40-42,feeding,Build understanding of snack portions.,Choosing appropriate snack amounts,Proper snacks prevent appetite disruption at meals.,Serve snacks in bowls instead of packages.,['Pre-portion snacks'],['Allow grazing'],Snacks need limits too.
40-42,feeding,Encourage awareness of meal completion.,Noticing when the meal feels complete,Awareness supports self-regulation.,Ask if they feel done or still hungry.,['Check in verbally'],['Decide for the child'],Check before clearing.
40-42,feeding,Support consistent portion expectations.,Serving similar portion sizes daily,Consistency helps children learn what is typical.,Use the same plate or bowl sizes regularly.,['Keep portions consistent'],['Change sizes randomly'],Consistency teaches norms.
40-42,feeding,Reduce food-related comparisons.,Focusing on personal appetite instead of others’ plates,Comparisons disrupt natural hunger cues.,Redirect attention to their own plate and body.,['Redirect gently'],['Compare siblings'],Every appetite is different.
40-42,feeding,Maintain a positive mealtime atmosphere.,Keeping portion discussions neutral,Neutral tone prevents anxiety around food.,Discuss portions calmly without judgment.,['Stay neutral'],['Comment critically'],Calm talk supports healthy eating.
40-42,sleep,Encourage bedtime independence.,Getting into bed without assistance,Independent bedtime routines support better sleep regulation.,"Guide the child through the routine, then step back gradually.",['Fade assistance slowly'],['Stay until asleep'],Independence builds confidence.
40-42,sleep,Support self-initiation of sleep.,Falling asleep without parental presence,Self-soothing reduces night awakenings.,Say goodnight and leave before the child falls asleep.,['Leave while awake'],['Lie down together'],Falling asleep alone supports nights.
40-42,sleep,Maintain consistent bedtime routines.,Following the same bedtime steps independently,Predictability signals readiness for sleep.,Use a visual routine chart at bedtime.,['Use routine cues'],['Change steps nightly'],Routine signals rest.
40-42,sleep,Reduce bedtime stalling.,Completing bedtime tasks without repeated reminders,Fewer delays lead to calmer bedtimes.,Limit reminders and praise task completion.,['Praise completion'],['Nag repeatedly'],Less reminding builds responsibility.
40-42,sleep,Create a calm bedtime environment.,Preparing the room for sleep independently,Calm environments support faster sleep onset.,Let the child dim lights or arrange comfort items.,['Encourage setup'],['Overstimulate before bed'],Calm spaces invite sleep.
40-42,sleep,Support emotional readiness for sleep.,Expressing bedtime worries verbally,Talking reduces nighttime anxiety.,Invite sharing of thoughts before lights out.,['Listen calmly'],['Dismiss fears'],Listening eases sleep.
40-42,sleep,Strengthen bedtime confidence.,Saying goodnight calmly,Calm separation supports independent sleep.,"Use a consistent, brief goodnight phrase.",['Keep goodbye brief'],['Extend goodbyes'],Brief goodbyes reduce anxiety.
40-42,sleep,Maintain consistent sleep timing.,Going to bed at the same time nightly,Regular timing supports circadian rhythm.,Set a fixed bedtime and follow it daily.,['Keep bedtime fixed'],['Vary timing often'],Timing trains the body.
40-42,sleep,Limit dependency on sleep props.,Sleeping without added comfort items,Fewer props support uninterrupted sleep.,Gradually reduce reliance on extra items.,['Reduce gradually'],['Remove suddenly'],Gradual change works best.
40-42,sleep,Support calm responses to night awakenings.,Returning to sleep independently,Independent return supports longer sleep stretches.,Offer brief reassurance without staying.,['Keep reassurance brief'],['Fully engage at night'],Night calm supports sleep.
40-42,hygiene,Build independence in dressing.,Putting on simple clothing independently,Dressing skills support autonomy and confidence.,Lay out clothes in order and allow time to try.,['Allow extra time'],['Rush the process'],Time builds independence.
40-42,hygiene,Support correct dressing sequence.,Putting clothes on in the correct order,Sequencing supports functional independence.,Name each clothing step as it is done.,['Name steps aloud'],['Correct harshly'],Steps guide success.
40-42,hygiene,Encourage self-correction during dressing.,Fixing misaligned or backward clothing,Self-correction builds awareness and problem-solving.,Ask the child to check how clothes feel.,['Prompt checking'],['Fix it immediately'],Self-check builds skill.
40-42,hygiene,Build fine motor skills through dressing.,Pulling up pants and adjusting waistbands,Fine motor control supports daily self-care.,Demonstrate gripping and pulling motions.,['Demonstrate slowly'],['Take over'],Small motions matter.
40-42,hygiene,Encourage choice-making in dressing.,Choosing between appropriate clothing options,Choice increases motivation and autonomy.,Offer two weather-appropriate outfit options.,['Offer limited choices'],['Overwhelm with options'],Choice boosts cooperation.
40-42,hygiene,Support clothing responsibility.,Putting dirty clothes in the laundry area,Responsibility supports routine awareness.,Show where dirty clothes belong and prompt after changing.,['Use consistent place'],['Pick up silently'],Responsibility builds habits.
40-42,hygiene,Encourage awareness of clothing comfort.,Noticing when clothes feel uncomfortable,Body awareness supports self-care decisions.,Ask how clothes feel after dressing.,['Ask about comfort'],['Ignore discomfort'],Comfort awareness matters.
40-42,hygiene,Build dressing persistence.,Continuing to try when dressing feels hard,Persistence supports learning complex tasks.,Encourage effort before offering help.,['Encourage effort'],['Step in too soon'],Effort builds mastery.
40-42,hygiene,Maintain dressing routines.,Dressing independently at regular times,Routine supports habit formation.,Keep dressing at the same times daily.,['Keep routine timing'],['Change timing often'],Routine builds skill.
40-42,hygiene,Support pride in self-care.,Noticing and valuing own dressing success,Pride motivates continued independence.,Acknowledge effort after dressing.,['Acknowledge effort'],['Ignore success'],Recognition fuels confidence.
40-42,behavior,Deepen emotional understanding.,Naming emotions with more specific words,Specific emotion words improve self-expression and regulation.,"Model words like frustrated, excited, or worried during moments.",['Model emotion words'],['Use only basic labels'],Specific words reduce confusion.
40-42,behavior,Support reflection on emotions.,Explaining why a feeling occurred,Understanding causes builds emotional insight.,Ask what happened before the feeling started.,['Ask reflective questions'],['Rush past feelings'],Reflection builds awareness.
40-42,behavior,Encourage emotional regulation strategies.,Choosing a calming strategy when upset,Strategy use supports self-control.,"Offer choices like breathing, quiet time, or hugging a toy.",['Offer calming options'],['Force one method'],Choice supports regulation.
40-42,behavior,Build emotional awareness over time.,Noticing emotions earlier before escalation,Early awareness prevents big reactions.,Name early signs like clenched hands or raised voice.,['Notice early cues'],['Wait for meltdown'],Early notice prevents escalation.
40-42,behavior,Support emotional recovery.,Returning to calm after strong emotions,Recovery builds resilience.,Stay present and guide calming steps.,['Stay supportive'],['Withdraw support'],Recovery matters.
40-42,behavior,Encourage empathy through emotions.,Recognizing emotions in others,Understanding others’ feelings supports social skills.,Point out how others might feel in situations.,['Discuss others’ feelings'],['Ignore social cues'],Empathy grows with awareness.
40-42,behavior,Strengthen verbal emotional expression.,Talking about feelings instead of acting out,Verbal expression reduces behavioral outbursts.,Prompt words before behavior escalates.,['Prompt words early'],['Wait for acting out'],Words come before actions.
40-42,behavior,Build emotional flexibility.,Shifting emotional response with support,Flexibility helps manage disappointment.,Acknowledge feelings and suggest alternatives.,['Acknowledge feelings'],['Dismiss emotions'],Validation supports change.
40-42,behavior,Encourage ownership of emotions.,Using “I feel” statements,Ownership reduces blame and frustration.,Model phrases like “I feel upset when…”,['Model I-feel statements'],['Encourage blaming'],Ownership builds maturity.
40-42,behavior,Support emotional learning through daily life.,Reflecting on emotions after events,Reflection strengthens emotional understanding.,Briefly discuss how situations felt afterward.,['Reflect together'],['Skip reflection'],Reflection deepens learning.
40-42,language,Build confidence in storytelling.,Telling a simple story from start to finish,Storytelling supports language structure and confidence.,"Prompt with questions about beginning, middle, and end.",['Use story prompts'],['Interrupt the story'],Let the story flow.
40-42,language,Encourage expressive language.,Sharing personal experiences verbally,Personal stories strengthen communication skills.,Invite the child to talk about their day.,['Invite sharing'],['Rush responses'],Time supports expression.
40-42,language,Expand narrative detail.,Adding descriptive details to stories,Details improve clarity and listener engagement.,"Ask follow-up questions about people, places, and feelings.",['Ask detail questions'],['Accept only short answers'],Details bring stories alive.
