age_month_range,domain,activity,goal,materials_needed,difficulty_level,duration_minutes,indoor_outdoor
31-33,nature / environment,Plant seeds in soil and water them,Teach responsibility and basic plant growth,"['Seeds, soil, small pots or garden area, water']",medium,20,both
31-33,nature / environment,Observe flowers and note different colors,Develop observation and appreciation of nature,"['Flowers, outdoor garden or park']",medium,15,outdoor
31-33,nature / environment,Identify different types of rocks,Encourage exploration and basic geology awareness,"['Rocks collected outdoors, basket or bag']",medium,20,outdoor
31-33,nature / environment,Observe clouds and describe shapes,Develop imagination and observation skills,['Outdoor space'],medium,10,outdoor
31-33,nature / environment,Watch butterflies and note colors and patterns,Enhance observation and appreciation of insects,"['Outdoor area, adult supervision']",medium,15,outdoor
31-33,nature / environment,Observe animals at a local park or farm,Develop awareness and understanding of living creatures,"['Outdoor trip, adult supervision']",medium,20,outdoor
31-33,nature / environment,Collect small twigs and build a simple structure,Encourage creativity and fine motor skills through nature,"['Twigs, outdoor space']",medium,15,outdoor
31-33,nature / environment,Observe shadows and how they change throughout the day,Teach cause and effect and observation skills,"['Outdoor sunny area, adult guidance']",medium,10,outdoor
31-33,nature / environment,"Identify smells in flowers, soil, or grass",Develop sensory awareness and curiosity,"['Flowers, soil, grass, outdoor space']",medium,15,outdoor
31-33,nature / environment,Observe worms or insects in soil,Encourage curiosity and understanding of living creatures,"['Outdoor soil area, adult supervision']",medium,15,outdoor
31-33,nature / environment,Notice differences between indoor and outdoor plants,Develop observation and environmental awareness,"['Indoor plants, outdoor garden, adult guidance']",medium,15,both
31-33,nature / environment,Watch water flow in a stream or small pond,Observe nature and learn about movement in water,"['Outdoor water source, adult supervision']",medium,15,outdoor
31-33,nature / environment,Observe birds building nests or feeding,Enhance awareness of animal behavior,"['Outdoor space, adult supervision']",medium,15,outdoor
31-33,nature / environment,"Touch and feel different textures in nature (bark, leaves)",Develop sensory awareness and observation,"['Outdoor area with plants, adult guidance']",medium,15,outdoor
31-33,nature / environment,Observe insects crawling on plants,Enhance curiosity and observation skills,"['Outdoor plants, magnifying glass optional']",medium,10,outdoor
31-33,nature / environment,Notice changes in the sky and clouds throughout the day,Teach observation and awareness of environment,"['Outdoor space, adult guidance']",medium,10,outdoor
31-33,nature / environment,Collect pinecones or seeds and observe differences,Encourage exploration and classification,"['Pinecones, seeds, basket']",medium,15,outdoor
31-33,nature / environment,Observe ripening fruits on trees or plants,Develop awareness of plant growth and natural cycles,"['Outdoor fruit trees or garden, adult supervision']",medium,15,outdoor
31-33,nature / environment,Watch small animals like squirrels or rabbits from a distance,Encourage observation and respect for wildlife,"['Outdoor space, adult supervision']",medium,15,outdoor
31-33,nature / environment,Observe patterns in sand or soil,Enhance observation and cognitive skills,['Outdoor area with sand or soil'],medium,10,outdoor
31-33,nature / environment,Collect and categorize natural objects by type,"Develop sorting, observation, and categorization skills","['Leaves, stones, twigs, basket']",medium,20,outdoor
31-33,nature / environment,Observe and listen to frogs or other amphibians,Enhance curiosity and understanding of animal sounds,"['Pond or outdoor water source, adult supervision']",medium,15,outdoor
31-33,nature / environment,Observe insects flying or crawling in different areas,Encourage curiosity and observation skills,"['Outdoor area, adult supervision']",medium,15,outdoor
31-33,nature / environment,Notice the colors of flowers and plants changing with seasons,Develop awareness of seasonal changes,"['Outdoor garden, adult guidance']",medium,15,outdoor
31-33,nature / environment,Collect pebbles and arrange them by size or color,Enhance categorization and observation skills,"['Pebbles, basket, outdoor area']",medium,20,outdoor
31-33,nature / environment,Observe tree bark and feel its texture,Develop sensory awareness and observation,"['Trees, outdoor space']",medium,15,outdoor
31-33,nature / environment,Watch fish swimming in a pond or aquarium,Encourage observation and curiosity about animals,"['Pond, aquarium, adult supervision']",medium,15,both
31-33,nature / environment,Observe the wind moving leaves and grass,Teach observation and cause-effect understanding,['Outdoor area'],medium,10,outdoor
31-33,nature / environment,Collect seeds and identify shapes and sizes,"Enhance observation, classification, and fine motor skills","['Seeds, basket, outdoor area']",medium,20,outdoor
31-33,nature / environment,Observe shadows of trees and objects at different times,Teach awareness of sunlight and patterns,['Outdoor area'],medium,10,outdoor
31-33,nature / environment,Observe rain and discuss changes in surroundings,Develop awareness of weather and natural phenomena,"['Outdoor space, adult supervision']",medium,10,outdoor
31-33,nature / environment,Watch snails or worms moving in soil,Encourage curiosity and understanding of small creatures,"['Soil, outdoor area, magnifying glass optional']",medium,10,outdoor
31-33,nature / environment,Observe patterns in tree leaves or flowers,Develop observation and pattern recognition skills,"['Leaves, flowers, outdoor area']",medium,15,outdoor
31-33,nature / environment,Collect sticks and arrange by length,Develop categorization and comparison skills,"['Twigs or sticks, basket, outdoor area']",medium,15,outdoor
31-33,nature / environment,Observe ants carrying food or building nests,Encourage observation and curiosity about nature,"['Outdoor area, adult guidance']",medium,15,outdoor
31-33,nature / environment,Notice dew on grass and leaves in the morning,Develop awareness of environmental changes,"['Outdoor space, morning time']",medium,10,outdoor
31-33,nature / environment,Observe shadows of moving people or animals,Teach observation and cause-effect skills,['Outdoor area'],medium,10,outdoor
31-33,nature / environment,Collect petals and compare textures,Enhance sensory awareness and observation,"['Petals, outdoor garden, basket']",medium,15,outdoor
31-33,nature / environment,Observe movement of clouds and describe shapes,Develop imagination and observation skills,"['Outdoor sky, adult guidance']",medium,10,outdoor
31-33,nature / environment,"Notice different sounds in nature (birds, water, wind)",Develop auditory observation and environmental awareness,"['Outdoor area, quiet space']",medium,15,outdoor
31-33,nature / environment,Observe animals eating or interacting in a park,Encourage curiosity and empathy for living beings,"['Outdoor park, adult supervision']",medium,15,outdoor
31-33,nature / environment,Watch insects land on flowers and notice colors,Enhance observation skills and attention to detail,"['Flowers, outdoor area, magnifying glass optional']",medium,10,outdoor
31-33,nature / environment,Notice patterns in sand or mud outdoors,Develop pattern recognition and observation skills,"['Sand, mud, outdoor space']",medium,15,outdoor
31-33,nature / environment,Observe growth of sprouts or small plants over days,"Teach patience, observation, and plant growth cycles","['Seeds, soil, small pot, water']",medium,20,both
31-33,nature / environment,Collect stones and group by smoothness or roughness,Develop sensory observation and categorization skills,"['Stones, basket, outdoor area']",medium,15,outdoor
31-33,nature / environment,Observe water ripples and discuss movement,Teach cause-effect relationships and observation,"['Outdoor water source, adult supervision']",medium,15,outdoor
31-33,nature / environment,Notice insects hiding under leaves or rocks,Encourage exploration and observation skills,"['Outdoor area, magnifying glass optional']",medium,15,outdoor
34-36,cognitive / thinking,Recognize patterns in colored beads or blocks,Enhance pattern recognition and logical thinking,['Colored beads or blocks'],medium,15,indoor
34-36,cognitive / thinking,Sort objects by size or type,Develop classification and analytical skills,"['Blocks, toys, or household objects']",medium,15,indoor
34-36,cognitive / thinking,Solve simple puzzles with 3–4 pieces,Enhance problem-solving and spatial skills,['Simple 3–4 piece puzzles'],medium,15,indoor
34-36,cognitive / thinking,Follow 2–3 step instructions to complete a task,Develop memory and sequential thinking,['Household tasks or activity props'],medium,15,indoor
34-36,cognitive / thinking,Identify missing objects in a group,Encourage attention and reasoning,"['Toys or objects, adult supervision']",medium,10,indoor
34-36,cognitive / thinking,Match shapes and colors,Develop visual discrimination and cognitive skills,['Shape blocks or flashcards'],medium,10,indoor
34-36,cognitive / thinking,Arrange objects in sequence by size or number,Enhance logical thinking and sequencing skills,"['Blocks, beads, or toys']",medium,15,indoor
34-36,cognitive / thinking,Identify what comes next in a simple story,Develop predictive reasoning and comprehension,"['Storybooks, picture cards']",medium,15,indoor
34-36,cognitive / thinking,Count objects up to 10,Enhance number recognition and counting skills,"['Toys, blocks, or beads']",medium,15,indoor
34-36,cognitive / thinking,Identify objects that are the same or different,Develop analytical thinking and observation,"['Household items, toys, or cards']",medium,10,indoor
34-36,cognitive / thinking,Play matching games with cards or objects,Improve memory and visual recognition,"['Matching cards, small toys']",medium,15,indoor
34-36,cognitive / thinking,Complete simple shape puzzles,Enhance problem-solving and spatial skills,['Shape puzzles or cut-outs'],medium,15,indoor
34-36,cognitive / thinking,Identify patterns in a sequence of objects,Develop pattern recognition and reasoning,"['Colored beads, blocks, or cards']",medium,15,indoor
34-36,cognitive / thinking,"Group objects by category (animals, shapes, colors)",Enhance classification and cognitive skills,"['Toys, cards, or household objects']",medium,15,indoor
34-36,cognitive / thinking,Use simple reasoning to solve ‘which one is different’ puzzles,Develop analytical and critical thinking,['Picture cards or objects'],medium,15,indoor
34-36,cognitive / thinking,Arrange colored blocks in repeating patterns,Enhance sequencing and pattern recognition skills,['Colored blocks'],medium,15,indoor
34-36,cognitive / thinking,"Solve simple problem-based tasks (e.g., move object to reach toy)",Develop problem-solving and critical thinking,"['Toys, obstacles, adult supervision']",medium,15,both
34-36,cognitive / thinking,Match objects with their shadows,Enhance visual discrimination and cognitive skills,['Objects and printed shadow cards'],medium,10,indoor
34-36,cognitive / thinking,Sort shapes by number of sides,Develop analytical thinking and geometry awareness,['Shape blocks or cut-outs'],medium,15,indoor
34-36,cognitive / thinking,Play ‘find the missing object’ in a group,Enhance memory and observation skills,['Small toys or objects'],medium,10,indoor
34-36,cognitive / thinking,Use blocks to copy simple patterns,Enhance visual memory and replication skills,['Blocks or colored shapes'],medium,15,indoor
34-36,cognitive / thinking,"Recognize and complete basic sequences (AB, AAB patterns)",Develop early sequencing and pattern recognition,"['Blocks, cards, or objects']",medium,15,indoor
34-36,cognitive / thinking,Identify differences in two similar pictures,Enhance observation and attention to detail,['Picture cards or books'],medium,15,indoor
34-36,cognitive / thinking,Solve simple maze or path-following games,Develop problem-solving and spatial awareness,['Maze worksheets or blocks for paths'],medium,15,indoor
34-36,cognitive / thinking,Arrange daily routine picture cards in order,Enhance sequencing and memory skills,['Picture cards depicting daily activities'],medium,15,indoor
34-36,cognitive / thinking,Identify patterns in a sequence of colored beads,Enhance visual and logical reasoning,['Colored beads or blocks'],medium,15,indoor
34-36,cognitive / thinking,"Sort toys by material (plastic, wood, cloth)",Develop classification and analytical skills,['Toys of various materials'],medium,15,indoor
34-36,cognitive / thinking,Match objects to pictures,Enhance visual recognition and memory skills,['Objects and corresponding picture cards'],medium,15,indoor
34-36,cognitive / thinking,Identify what is missing from a group of items,Develop attention to detail and memory,['Small toys or objects'],medium,10,indoor
34-36,cognitive / thinking,Solve simple shape-sorting puzzles,Enhance spatial awareness and problem-solving,['Shape sorter or cut-out shapes'],medium,15,indoor
34-36,cognitive / thinking,Copy simple arrangements of blocks or toys,"Develop memory, observation, and spatial skills",['Blocks or small toys'],medium,15,indoor
34-36,cognitive / thinking,"Identify first, next, and last in a sequence",Enhance understanding of order and sequencing,"['Objects, blocks, or picture cards']",medium,15,indoor
34-36,cognitive / thinking,Arrange objects by weight (light to heavy),"Develop observation, comparison, and analytical skills",['Toys or household objects of varying weight'],medium,15,indoor
34-36,cognitive / thinking,"Sort objects by function (kitchen, bedroom, bathroom)",Develop categorization and reasoning skills,['Household items'],medium,15,indoor
34-36,cognitive / thinking,Complete simple pattern worksheets,Enhance visual recognition and problem-solving skills,"['Pattern worksheets, crayons or pencils']",medium,15,indoor
34-36,cognitive / thinking,Find hidden objects in a picture,Develop observation and focus,['Picture books or printed sheets'],medium,15,indoor
34-36,cognitive / thinking,Identify objects that belong together (shoe and sock),Develop logical association and reasoning,['Household items or toys'],medium,10,indoor
34-36,cognitive / thinking,Arrange cards in size order,Enhance sequencing and observation skills,['Picture cards of varying sizes'],medium,10,indoor
34-36,cognitive / thinking,Solve simple matching board games,"Develop memory, attention, and cognitive skills",['Matching board game or cards'],medium,15,indoor
34-36,cognitive / thinking,"Find patterns in everyday objects (plates, cups)",Enhance pattern recognition and reasoning,['Household objects'],medium,15,indoor
34-36,cognitive / thinking,Complete shape tracing worksheets,Develop fine motor skills and shape recognition,"['Worksheets, crayons or pencils']",medium,15,indoor
34-36,cognitive / thinking,"Identify objects by function (e.g., fork vs. spoon)",Enhance reasoning and logical thinking,['Household utensils or toys'],medium,10,indoor
34-36,cognitive / thinking,Sort colored papers by shade,Develop visual discrimination and categorization,"['Colored papers, basket or mat']",medium,15,indoor
34-36,cognitive / thinking,Play simple memory games with cards or objects,Enhance memory and observation,['Cards or small objects for matching'],medium,15,indoor
34-36,cognitive / thinking,"Group objects by color, shape, or size",Develop classification and analytical skills,"['Toys, beads, or household objects']",medium,15,indoor
34-36,cognitive / thinking,Complete simple shape or color mazes,Enhance problem-solving and spatial reasoning,"['Maze worksheets, crayons or pencils']",medium,15,indoor
34-36,cognitive / thinking,Match objects to their purpose (brush to hair),Develop logical association and reasoning skills,['Household objects or toys'],medium,10,indoor
34-36,cognitive / thinking,Arrange story sequence cards in order,"Enhance sequencing, memory, and comprehension",['Picture cards of a simple story'],medium,15,indoor
34-36,cognitive / thinking,Sort toys or blocks by geometric shapes,Develop shape recognition and categorization skills,['Blocks or toys of different shapes'],medium,15,indoor
34-36,cognitive / thinking,Match animals to their habitats,Enhance reasoning and knowledge about nature,['Animal and habitat cards or pictures'],medium,15,indoor
34-36,language / communication,Use 4–5 word sentences to describe daily activities,Enhance expressive language skills,['None'],medium,10,indoor
34-36,language / communication,Ask and answer simple 'why' questions,Develop curiosity and reasoning through language,['Picture books or everyday scenarios'],medium,15,indoor
34-36,language / communication,Tell short stories using pictures or toys,Develop storytelling and sequencing skills,"['Picture cards, toys, or storybooks']",medium,15,indoor
34-36,language / communication,Follow 2–3 step verbal instructions,Enhance comprehension and attention,['Household tasks or toys'],medium,10,indoor
34-36,language / communication,Name objects in pictures or around the room,Build vocabulary and identification skills,['Picture books or household items'],medium,10,indoor
34-36,language / communication,Describe emotions in self and others,Develop emotional vocabulary and expression,['Picture cards or mirrors'],medium,10,indoor
34-36,language / communication,Repeat rhymes and simple poems,"Enhance memory, rhythm, and pronunciation",['Rhymes or poem books'],medium,10,indoor
34-36,language / communication,"Identify and name simple prepositions (in, on, under)",Develop understanding of spatial concepts,['Toys or household objects'],medium,10,indoor
34-36,language / communication,Describe actions of characters in a story,Enhance comprehension and expressive language,['Storybooks or picture cards'],medium,15,indoor
34-36,language / communication,"Use descriptive words for colors, shapes, and sizes",Expand vocabulary and observation skills,"['Blocks, crayons, or picture cards']",medium,15,indoor
34-36,language / communication,Ask and answer 'what' and 'where' questions,Develop conversational and reasoning skills,"['Toys, pictures, or household objects']",medium,10,indoor
34-36,language / communication,Retell a simple story using picture cards,"Enhance memory, sequencing, and language skills",['Picture cards or storybooks'],medium,15,indoor
34-36,language / communication,Answer questions about daily routines,Improve comprehension and verbal expression,['None'],medium,10,indoor
34-36,language / communication,Use new words learned during play or reading,Expand vocabulary and expressive language,"['Toys, books, or household items']",medium,10,indoor
34-36,language / communication,Complete sentences with missing words,Develop sentence formation and word recall,['Simple worksheets or oral prompts'],medium,10,indoor
34-36,language / communication,Describe what is happening in a picture,Enhance expressive language and observation,['Picture books or cards'],medium,15,indoor
34-36,language / communication,Sing simple songs and remember lyrics,"Develop memory, rhythm, and expressive language",['Songbooks or audio'],medium,10,indoor
34-36,language / communication,"Answer 'who', 'what', 'where' questions about a story",Enhance comprehension and reasoning skills,['Storybooks or picture cards'],medium,10,indoor
34-36,language / communication,Talk about personal experiences during play,Encourage storytelling and self-expression,['None'],medium,10,indoor
34-36,language / communication,Identify and name objects around the home,Expand vocabulary and observational language,['Household items'],medium,10,indoor
34-36,language / communication,Ask 'why' questions about pictures or actions,Develop critical thinking and curiosity,['Picture books or storybooks'],medium,15,indoor
34-36,language / communication,Describe differences between two pictures,"Enhance observation, comparison, and language skills",['Picture books or printed sheets'],medium,15,indoor
34-36,language / communication,Retell a simple event from the day,"Develop memory, sequencing, and storytelling skills",['None'],medium,10,indoor
34-36,language / communication,Use plural forms and simple past tense in sentences,Enhance grammar and sentence structure understanding,"['Books, toys, or daily activities']",medium,15,indoor
34-36,language / communication,Name actions shown in pictures or during play,Expand vocabulary and comprehension of verbs,['Picture cards or toys'],medium,10,indoor
34-36,language / communication,Ask questions to clarify meaning of new words,Develop inquiry skills and vocabulary growth,['Books or conversation prompts'],medium,10,indoor
34-36,language / communication,Describe what they are doing during play,Encourage expressive language and storytelling,['Toys or play area'],medium,10,indoor
34-36,language / communication,Ask questions about objects in books or pictures,Develop curiosity and vocabulary,"['Books, picture cards']",medium,10,indoor
34-36,language / communication,Talk about feelings using simple sentences,Enhance emotional expression and vocabulary,['Emotion cards or mirrors'],medium,10,indoor
34-36,language / communication,Name objects and describe their function,Develop reasoning and vocabulary,['Household objects or toys'],medium,10,indoor
34-36,language / communication,Retell events from a story using own words,"Enhance memory, sequencing, and storytelling",['Storybooks or picture cards'],medium,15,indoor
34-36,language / communication,Describe differences between two objects or pictures,"Develop observation, comparison, and expressive skills",['Picture cards or toys'],medium,10,indoor
34-36,language / communication,Ask questions to learn new information,Encourage curiosity and conversational skills,['Books or everyday scenarios'],medium,10,indoor
34-36,language / communication,Use descriptive language to talk about objects,Expand vocabulary and observation skills,"['Toys, blocks, or household objects']",medium,10,indoor
34-36,language / communication,Name actions being performed in pictures or videos,Enhance comprehension and verb vocabulary,"['Pictures, videos, or storybooks']",medium,10,indoor
34-36,language / communication,"Answer questions about objects' location (in, on, under)",Develop spatial awareness and language,['Household objects or toys'],medium,10,indoor
34-36,language / communication,Repeat simple rhymes with gestures,"Enhance memory, rhythm, and coordination",['Rhymes or songbooks'],medium,10,indoor
34-36,language / communication,Ask and answer 'who' and 'what' questions about pictures,Enhance comprehension and expressive language,['Picture cards or storybooks'],medium,10,indoor
34-36,language / communication,Describe what is happening in a short video or scene,"Develop observation, sequencing, and storytelling skills",['Short video clips or real-life scenarios'],medium,15,both
34-36,language / communication,"Use simple conjunctions like 'and', 'but', 'because'",Develop sentence complexity and grammar,"['Books, conversation prompts, or play']",medium,15,indoor
34-36,language / communication,Ask questions to clarify meaning of a story,Develop comprehension and critical thinking,['Storybooks or picture cards'],medium,15,indoor
34-36,language / communication,Talk about their favorite toy or activity,Encourage self-expression and vocabulary,['Favorite toys or activity materials'],medium,10,indoor
34-36,language / communication,"Describe objects using size, shape, and color",Enhance descriptive language and observation skills,"['Blocks, toys, or household items']",medium,10,indoor
34-36,language / communication,Retell familiar stories in own words,"Develop memory, sequencing, and expressive language",['Storybooks or picture cards'],medium,15,indoor
34-36,language / communication,Answer 'why' questions about daily experiences,Enhance reasoning and conversational skills,['Daily routines or events'],medium,10,both
34-36,language / communication,Ask questions about objects or actions they see,Develop curiosity and inquiry skills,"['Household objects, toys, or pictures']",medium,10,indoor
34-36,language / communication,"Describe sequences in everyday activities (e.g., washing hands)","Develop sequencing, comprehension, and verbal skills",['Daily routine tasks'],medium,10,indoor
34-36,language / communication,Talk about what they will do next in play or routine,"Enhance planning, prediction, and expressive language","['Toys, play area, or daily routines']",medium,10,indoor
34-36,language / communication,Use new words learned in conversation,Expand vocabulary and language usage,"['Books, toys, or daily activities']",medium,10,indoor
34-36,language / communication,Describe emotions of characters in a story,Develop emotional understanding and language skills,"['Storybooks, picture cards, or toys']",medium,15,indoor
34-36,language / communication,"Answer questions about 'who', 'what', 'where', and 'why'",Enhance comprehension and critical thinking,"['Storybooks, pictures, or real-life scenarios']",medium,15,indoor
34-36,social and emotional,Play simple cooperative games with peers,Develop teamwork and cooperation skills,"['Balls, simple board games, or play props']",medium,15,both
34-36,social and emotional,Take turns during play activities,Learn patience and sharing,['Toys or games'],medium,10,indoor
34-36,social and emotional,Recognize and name emotions in themselves,Develop self-awareness and emotional vocabulary,['Emotion cards or mirrors'],medium,10,indoor
34-36,social and emotional,Recognize emotions in others through facial expressions,Develop empathy and social understanding,['Picture cards or real-life interactions'],medium,10,indoor
34-36,social and emotional,Express feelings using words instead of actions,Enhance emotional regulation and communication,['Storybooks or daily scenarios'],medium,10,indoor
34-36,social and emotional,Play pretend games involving sharing roles,Encourage cooperation and imagination,"['Dolls, toy kitchen, or props']",medium,15,indoor
34-36,social and emotional,Comfort a peer who is sad or upset,Develop empathy and caring behaviors,['Peer interaction or role-play'],medium,10,indoor
34-36,social and emotional,Use polite words such as 'please' and 'thank you',Develop social manners and communication,['Daily routines or play scenarios'],medium,10,indoor
34-36,social and emotional,Take turns speaking in a group,Enhance listening and communication skills,['Storytime or group activities'],medium,10,indoor
34-36,social and emotional,Role-play family or community members,Develop social understanding and imaginative play,"['Props, dolls, or dress-up items']",medium,15,indoor
34-36,social and emotional,Show pride in completing a task,Encourage self-confidence and self-esteem,['Any task or activity completed by the child'],medium,10,both
34-36,social and emotional,"Identify own preferences (favorite toy, food, or color)",Develop self-awareness and decision-making,"['Toys, food items, or color cards']",medium,10,indoor
34-36,social and emotional,Practice expressing frustration with words,Enhance emotional regulation and communication,['Daily routines or role-play scenarios'],medium,10,indoor
34-36,social and emotional,Play group games with simple rules,"Develop cooperation, turn-taking, and rule-following","['Balls, hoops, or board games']",medium,15,both
34-36,social and emotional,Express excitement or disappointment appropriately,Develop self-control and emotional awareness,['Daily routines or play activities'],medium,10,both
34-36,social and emotional,Share toys or materials with peers during play,Encourage sharing and cooperative play,"['Toys, art supplies, or blocks']",medium,10,indoor
34-36,social and emotional,Recognize when someone else is happy or sad,Develop empathy and social awareness,['Picture cards or real-life scenarios'],medium,10,indoor
34-36,social and emotional,Use words to request help when needed,Enhance communication and problem-solving,['Daily tasks or play activities'],medium,10,indoor
34-36,social and emotional,Participate in simple group discussions,"Develop listening, speaking, and social skills","['Storytime, circle time, or play discussion']",medium,15,indoor
34-36,social and emotional,Act out emotions in pretend play,Develop imagination and emotional understanding,"['Dolls, puppets, or props']",medium,15,indoor
34-36,social and emotional,Praise peers or family members for accomplishments,Encourage positive social interaction and empathy,['Daily interactions or play'],medium,10,indoor
34-36,social and emotional,Discuss feelings after a conflict with a peer,Develop conflict resolution and emotional skills,['Role-play or real-life situations'],medium,15,indoor
34-36,social and emotional,Identify what makes themselves or others happy,Enhance self-awareness and empathy,['Daily activities or storybooks'],medium,10,indoor
34-36,social and emotional,Participate in pretend family or community play,Encourage role understanding and cooperation,"['Dolls, toy sets, or props']",medium,15,indoor
34-36,social and emotional,Practice saying sorry when mistakes happen,Develop accountability and social skills,['Daily interactions or role-play'],medium,10,indoor
34-36,social and emotional,Work together to complete a puzzle or task,Encourage cooperation and teamwork,"['Puzzles, blocks, or cooperative games']",medium,15,indoor
34-36,social and emotional,Express excitement using words and gestures,Develop expressive skills and social interaction,"['Toys, games, or daily routines']",medium,10,both
34-36,social and emotional,Notice and comment on peers’ feelings,Enhance empathy and social awareness,['Peer interactions or storybooks'],medium,10,indoor
34-36,social and emotional,Practice waiting patiently for a turn,Develop patience and self-control,['Toys or games with turns'],medium,10,indoor
34-36,social and emotional,Give compliments to friends or family,Encourage positive social interaction,['Daily interactions or role-play'],medium,10,indoor
34-36,social and emotional,Participate in group clean-up activities,Encourage teamwork and responsibility,"['Toys, classroom, or play area']",medium,15,both
34-36,social and emotional,Share ideas during group play or storytime,Develop communication and social participation,"['Storybooks, toys, or group play items']",medium,15,indoor
34-36,social and emotional,Recognize when someone is left out and include them,Promote empathy and inclusion,['Peer interactions or group play'],medium,10,indoor
34-36,social and emotional,Talk about feelings after completing a task,Develop emotional expression and reflection,['Any activity or task completed by child'],medium,10,both
34-36,social and emotional,Use words to ask for help or clarification,Enhance social communication and problem-solving,['Daily routines or play'],medium,10,indoor
34-36,social and emotional,Express disappointment in a positive way,Develop emotional regulation and coping skills,['Daily experiences or role-play'],medium,10,both
34-36,social and emotional,Practice inviting peers to join in play,Encourage social interaction and cooperation,['Toys or group play items'],medium,10,both
34-36,social and emotional,Share stories about personal experiences,Develop narrative skills and social sharing,['None'],medium,10,indoor
34-36,social and emotional,Act out solving a conflict in pretend play,Enhance problem-solving and social understanding,"['Dolls, puppets, or props']",medium,15,indoor
34-36,social and emotional,Practice acknowledging others’ achievements,Develop empathy and social awareness,['Daily interactions or group activities'],medium,10,indoor
34-36,social and emotional,Discuss feelings after a minor accident or mistake,Develop self-awareness and coping skills,['Daily routines or role-play'],medium,10,both
34-36,social and emotional,Participate in singing or dancing with peers,Promote group participation and social bonding,"['Music, instruments, or open space']",medium,15,both
34-36,social and emotional,Encourage peers when attempting a new task,Foster encouragement and positive social behavior,"['Toys, games, or daily tasks']",medium,10,indoor
34-36,social and emotional,Role-play helping someone in need,Enhance empathy and social responsibility,"['Props, dolls, or daily situations']",medium,15,indoor
34-36,social and emotional,Practice listening attentively to peers,Develop communication and social skills,['Group discussion or storytime'],medium,10,indoor
34-36,social and emotional,Express joy when a friend succeeds,Develop empathy and social awareness,['Peer interactions or play'],medium,10,indoor
34-36,social and emotional,Work together to tidy up the play area,"Promote cooperation, responsibility, and teamwork",['Toys and play area'],medium,15,both
34-36,social and emotional,Recognize when friends need comfort and offer help,Encourage empathy and caring behavior,['Peer interactions or role-play'],medium,10,indoor
34-36,social and emotional,Celebrate group successes with peers,Foster social bonding and cooperative spirit,['Group activities or play'],medium,15,both
34-36,gross motor,Hop forward on one foot several times,Develop balance and coordination,"['Open space, mats optional']",medium,10,both
34-36,gross motor,Ride a tricycle around a safe area,"Enhance leg strength, coordination, and endurance","['Tricycle, helmet, open safe area']",medium,15,outdoor
34-36,gross motor,Throw a small ball at a target,Improve hand-eye coordination and aiming,"['Soft ball, target or basket']",medium,10,both
34-36,gross motor,Catch a gently thrown ball from a short distance,Develop reflexes and hand-eye coordination,"['Soft ball, partner or wall']",medium,10,both
34-36,gross motor,Walk along a straight line or low balance beam,Enhance balance and coordination,['Tape line on floor or low beam'],medium,10,both
34-36,gross motor,Jump with both feet together over small objects,Improve leg strength and coordination,['Soft objects or mats'],medium,10,both
34-36,gross motor,Climb up and down stairs with support,Develop leg muscles and coordination,"['Stairs, adult supervision']",medium,10,indoor
34-36,gross motor,Kick a ball forward with some control,Improve leg coordination and aim,"['Soft ball, open area']",medium,10,both
34-36,gross motor,Run around obstacles without falling,"Enhance agility, coordination, and spatial awareness",['Cones or soft objects for obstacles'],medium,15,both
34-36,gross motor,Balance on one foot for a few seconds,Develop stability and leg strength,"['Open space, adult supervision']",medium,10,both
34-36,gross motor,Walk backwards along a straight line,Enhance balance and coordination,['Tape line or floor markers'],medium,10,indoor
34-36,gross motor,Throw a beanbag into a target container,Improve hand-eye coordination and aiming,"['Beanbags, basket or container']",medium,10,both
34-36,gross motor,Step over small hurdles or lines,"Develop leg strength, coordination, and agility",['Low hurdles or floor lines'],medium,10,both
34-36,gross motor,Push a small wagon or cart,Enhance upper and lower body strength,"['Small wagon or cart, open area']",medium,15,both
34-36,gross motor,Dance or move to music with full body,"Develop coordination, rhythm, and body awareness",['Music player or live music'],medium,15,both
34-36,gross motor,Climb onto low furniture safely,Develop strength and climbing skills,"['Low chairs or climbing structure, adult supervision']",medium,10,indoor
34-36,gross motor,Walk on tiptoes across a room,Strengthen leg muscles and balance,['Open space'],medium,10,indoor
34-36,gross motor,Jump from low step to floor,Develop leg strength and coordination,"['Low step or platform, mat optional']",medium,10,both
34-36,gross motor,Roll a ball to a partner with control,Improve hand-eye coordination and social interaction,"['Soft ball, partner']",medium,10,both
34-36,gross motor,Crawl through a tunnel or low obstacle,"Enhance coordination, strength, and spatial awareness",['Tunnel or chairs with blankets'],medium,10,both
34-36,gross motor,Throw and catch soft objects from a short distance,Develop coordination and timing,"['Soft ball or beanbag, partner']",medium,10,both
34-36,gross motor,Balance while walking along a wavy line,Enhance balance and focus,['Tape or rope on floor'],medium,10,indoor
34-36,gross motor,Kick a stationary ball repeatedly,Improve leg strength and control,"['Soft ball, open area']",medium,10,both
34-36,gross motor,Run in a zig-zag pattern around cones,"Develop agility, coordination, and spatial awareness","['Cones or markers, open area']",medium,15,both
34-36,gross motor,Climb over soft obstacles safely,"Enhance strength, coordination, and confidence","['Soft blocks or cushions, adult supervision']",medium,10,both
34-36,gross motor,Hop backward on one foot,Enhance balance and coordination,"['Open space, mats optional']",medium,10,both
