age_group,environment,topic,scenario,safety_category,response_guidance,learning_goal,emotional_tone,message_style,trusted_action,complexity_level,reviewed_by
4–5,Outdoor,Safe Use of Sand Pits,You want to throw sand at other children.,Unsafe behavior,Keep sand in the pit and avoid throwing it at others.,Teach children safe play in sand areas.,Friendly,Scenario,Play with sand using hands or toys only.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Running on Wet Grass,"It rained, and the grass is slippery, but you want to run.",Unsafe behavior,Walk carefully; slippery surfaces can cause falls.,Teach children to recognize and avoid slipping hazards.,Instructional,Scenario,Move slowly and ask an adult if unsure.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Playing Near Construction Areas,You see a construction zone near your playground and want to explore.,Unsafe behavior,Do not go near construction areas; stay in safe play zones.,Teach children to recognize and avoid hazards outdoors.,Serious,Scenario,Return to the safe play area immediately.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Bike Riding,You want to ride a tricycle without a helmet.,Unsafe behavior,Always wear a helmet when riding.,Teach children proper protective gear for riding toys.,Instructional,Scenario,Put on a helmet before riding the tricycle.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Interaction with Birds,You want to chase pigeons in the park.,Unsafe behavior,Do not chase birds; watch them from a safe distance.,Teach children to avoid actions that can cause harm to themselves or animals.,Friendly,Scenario,Observe birds quietly and safely.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Climbing Fences,You want to climb over a fence to reach a ball.,Unsafe behavior,Do not climb fences; ask an adult for help.,Teach children to respect barriers and avoid injuries.,Serious,Scenario,Call a caregiver to retrieve the ball safely.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Playing Around Benches,You want to jump off a bench while running.,Unsafe behavior,Do not jump from heights; play safely on the ground.,Teach children to avoid minor but dangerous falls.,Instructional,Scenario,Step down carefully with adult supervision.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Sharing Snacks with Strangers,Someone asks for your snack at the playground.,Unsafe behavior,Do not share food with strangers; tell a caregiver.,Teach children to protect themselves from potential health risks.,Serious,Scenario,Give your snack only to trusted adults or friends with permission.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Running Into Crowded Areas,You want to run ahead in a crowded park.,Unsafe behavior,Stay where adults can see you; avoid crowded areas.,Teach children to maintain visibility and safety in public spaces.,Friendly,Instruction,Walk safely near your caregiver.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Playing with Balls,You throw a ball near a street.,Unsafe behavior,Keep balls within safe play areas and away from streets.,Teach children ball play safety.,Instructional,Scenario,Ask an adult to move the ball back to a safe area.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Chasing Strangers,A stranger runs past and you want to chase them.,Unsafe behavior,Never chase strangers; move back to your caregiver.,Teach children stranger danger awareness.,Serious,Scenario,Stay near trusted adults and report the incident.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Picking Up Plants,You want to pick berries in the park.,Unsafe behavior,Do not eat or touch unknown plants; ask an adult first.,Teach children to avoid poisonous plants.,Instructional,Scenario,Show the berries to an adult without touching.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Climbing Rocks,You see a large rock and want to climb it alone.,Unsafe behavior,Do not climb rocks without adult supervision.,Prevent falls and injuries on uneven surfaces.,Serious,Scenario,Ask a caregiver to help or supervise.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Handrails Use,You want to jump off the handrail on the playground steps.,Unsafe behavior,"Use handrails for support, not for jumping.",Teach children to use playground structures safely.,Instructional,Scenario,Hold the handrail while walking carefully.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Picking Up Litter,You see a sharp piece of trash on the playground and want to pick it up.,Unsafe behavior,Do not touch trash; tell an adult to remove it.,Teach children to avoid hazardous objects.,Serious,Scenario,Inform a caregiver without touching it.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Use of Slides,You want to climb up the slide surface instead of the stairs.,Unsafe behavior,Always use stairs to climb slides.,Teach children correct playground behavior.,Instructional,Scenario,Climb safely using stairs with adult supervision.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Playground Sharing,Another child wants to use the swing you are on.,Safe behavior,Take turns and wait patiently.,Teach children about sharing and cooperation.,Friendly,Instruction,Step aside when your turn is over and let the next child use it.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Climbing Fences,You want to climb a fence to retrieve a ball.,Unsafe behavior,Do not climb fences; ask an adult for help.,Teach children not to climb unsafe barriers.,Serious,Scenario,Wait for an adult to retrieve the ball safely.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Rough Play,You want to push or tackle a friend during tag.,Unsafe behavior,Play gently and do not hurt others.,Teach children safe physical interaction.,Friendly,Instruction,Use gentle touches and avoid aggressive actions.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Toy Sharing,You want to give a toy to someone you don’t know.,Unsafe behavior,Only share toys with friends or with adult permission.,Teach children boundaries for sharing.,Instructional,Scenario,Ask an adult before giving toys to someone new.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Hydration,You feel thirsty during outdoor play but water is far away.,Safe behavior,Ask an adult for water instead of drinking from unknown sources.,Teach children to stay hydrated safely.,Friendly,Instruction,Go to a caregiver to get a drink.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Sun Protection,You want to play in direct sun without a hat or sunscreen.,Unsafe behavior,Wear a hat and sunscreen before playing outside.,Teach children sun safety habits.,Instructional,Scenario,Apply sunscreen with adult help and put on a hat.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Running on Wet Surfaces,You want to run across a wet area after rain.,Unsafe behavior,Walk carefully to avoid slipping and falling.,Teach children to navigate wet or slippery areas safely.,Instructional,Scenario,Move slowly and ask an adult for guidance.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Climbing on Playground Equipment,You want to climb up the outside of the climbing frame.,Unsafe behavior,Climb only designated areas with adult supervision.,Teach children safe climbing techniques.,Instructional,Scenario,Use the correct climbing routes under adult supervision.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Listening to Adults,"Your teacher asks everyone to stop playing and line up, but you want to keep running.",Unsafe behavior,Follow adult instructions immediately.,Teach children to obey adults for safety.,Friendly,Instruction,Stop playing and line up as directed.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Touching Unknown Animals,You see a stray cat and want to pet it.,Unsafe behavior,Do not touch unknown animals; tell an adult.,Teach children to avoid unknown animals for safety.,Serious,Scenario,Observe animals only with adult supervision.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Crossing with Adults,You see a crosswalk but want to cross the street alone.,Unsafe behavior,Always cross streets with a trusted adult.,Teach children proper road crossing behavior.,Serious,Scenario,Hold an adult's hand while crossing.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Picking Up Stones or Small Objects,You want to put small stones in your mouth.,Unsafe behavior,Do not put objects in your mouth; tell an adult.,Prevent choking hazards for young children.,Serious,Scenario,Give the objects to a caregiver for safe disposal.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Interaction with Friends,You want to pull a friend’s toy away.,Unsafe behavior,Ask politely or wait your turn instead of taking it.,Teach children respectful play and sharing.,Friendly,Instruction,Wait or ask a caregiver to mediate sharing.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Sitting on Playground Equipment,You want to stand on a moving swing.,Unsafe behavior,Sit properly while swinging to avoid falling.,Teach children safe swinging practices.,Instructional,Scenario,Sit down and swing safely.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Going Behind Trees or Structures,You want to hide behind a tree during playtime.,Unsafe behavior,Stay where adults can see you.,Teach children to remain visible during play.,Friendly,Instruction,Return to an open area where adults can see you.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Running Near Water,You want to run near a pond or fountain at the park.,Unsafe behavior,Do not run near water; stay at a safe distance.,Teach children to avoid slipping or falling into water.,Serious,Scenario,Stay on safe ground near an adult.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Climbing on Monkey Bars,You want to swing from the top bar with no adult nearby.,Unsafe behavior,Only use monkey bars with adult supervision.,Teach children safe climbing habits.,Instructional,Scenario,Wait for an adult to watch while climbing.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Running Into Streets,You see a ball rolling onto the street and run after it.,Unsafe behavior,Do not run into the street; ask an adult for help.,Teach children to avoid traffic dangers.,Serious,Scenario,Call an adult to retrieve the ball safely.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Play Around Benches,You want to jump on the back of a bench while playing.,Unsafe behavior,Do not climb on benches; play safely on the ground.,Teach children to avoid minor falls.,Instructional,Scenario,Play on flat surfaces under supervision.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Chasing Birds,You see birds and run after them to catch them.,Unsafe behavior,Watch birds without chasing to avoid falls or bites.,Teach children gentle observation of animals.,Friendly,Scenario,Observe quietly with adult guidance.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Sharing of Toys,You want to take a toy from another child without asking.,Unsafe behavior,Ask politely or wait your turn.,Teach children respectful play and turn-taking.,Friendly,Instruction,Wait or ask an adult to help share.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Touching Plants,You see flowers or berries and want to pick them.,Unsafe behavior,Do not touch unknown plants; ask an adult first.,Prevent poisoning or skin irritation.,Instructional,Scenario,Show the plants to an adult without touching.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Running in Open Areas,You want to run in an area with uneven ground.,Unsafe behavior,Be careful on uneven surfaces to avoid tripping.,Teach children to recognize hazards while running.,Instructional,Scenario,Move slowly and look at the ground.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Playing Near Others,You want to swing a rope near other children.,Unsafe behavior,Do not swing ropes or objects near others.,Prevent injuries during group play.,Instructional,Scenario,Use toys safely and away from others.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Toy Placement,You leave toys scattered near pathways.,Unsafe behavior,Keep toys in a safe area to avoid tripping.,Teach children to keep play areas safe.,Instructional,Scenario,Pick up toys and put them in a designated area.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Going Out Alone,You want to explore the park alone.,Unsafe behavior,Always stay with a trusted adult.,Teach children the importance of staying close to caregivers.,Serious,Scenario,Stay visible to an adult at all times.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Listening to Instructions,An adult asks you to stop running and listen.,Safe behavior,Stop and follow the instructions immediately.,Teach children to follow safety instructions from adults.,Friendly,Instruction,Stop playing and listen attentively.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Climbing Slopes,You want to climb a steep hill without supervision.,Unsafe behavior,Do not climb steep areas alone; wait for an adult.,Prevent falls and injuries outdoors.,Serious,Scenario,Ask an adult to supervise if climbing is allowed.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Playing Around Trees,You want to swing from low branches.,Unsafe behavior,Do not hang or swing from tree branches.,Prevent falls and injuries.,Instructional,Scenario,Play on the ground and use playground equipment instead.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Throwing Stones,You see stones and want to throw them at the playground.,Unsafe behavior,Do not throw stones; it can hurt others.,Teach children safe play behavior.,Serious,Scenario,Play with soft toys or balls instead.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Interaction with Pets,You see a dog and want to hug it without asking the owner.,Unsafe behavior,Do not touch animals without adult permission.,Teach children safe interactions with animals.,Serious,Scenario,Ask the owner and adult before touching any pet.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Use of Playground Swings,You want to jump off a swing while it is moving.,Unsafe behavior,Sit properly until the swing stops.,Teach children safe swinging techniques.,Instructional,Scenario,Sit and wait until it stops moving before getting off.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Running Near Bikes,You see someone riding a bike and want to run in front of it.,Unsafe behavior,Do not run near moving bikes; stay on the side safely.,Teach children awareness of moving objects outdoors.,Serious,Scenario,Step back and let the bike pass safely.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Use of Sandbox Toys,You throw sand out of the sandbox at other children.,Unsafe behavior,Keep sand inside the sandbox; do not throw at others.,Teach children safe play habits in sand areas.,Friendly,Scenario,Use toys in the sandbox safely.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Use of Water Fountains,You drink water from a fountain by leaning over and spilling.,Unsafe behavior,Stand properly and drink carefully from fountains.,Teach children proper water fountain safety.,Instructional,Scenario,Ask an adult to show you the correct way.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Playing Near Cars,You want to play tag near parked cars.,Unsafe behavior,Play in designated playground areas away from vehicles.,Teach children safe play zones away from traffic.,Serious,Scenario,Move to a safe play area under supervision.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Interaction During Group Games,You push friends to be first in a game.,Unsafe behavior,Play gently and take turns.,Teach children safe interaction and fairness.,Friendly,Instruction,Wait your turn and avoid pushing.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Touching Unknown Insects,You want to pick up a bee or ant.,Unsafe behavior,Do not touch insects; observe from a safe distance.,Prevent stings and bites outdoors.,Instructional,Scenario,Show an adult if you are curious about insects.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Sitting on Swings,You sit sideways or stand on a swing.,Unsafe behavior,Sit properly facing forward on swings.,Teach children proper swing use to prevent falls.,Instructional,Scenario,Sit down and hold the ropes while swinging.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Leaving Toys on Pathways,You leave toys scattered on paths for others to trip on.,Unsafe behavior,Keep toys in a safe play area.,Teach children responsibility for safe play areas.,Instructional,Scenario,Pick up toys and store safely.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Use of Climbing Structures,You try to climb outside the railing or safety bars.,Unsafe behavior,Only climb within safe areas of playground equipment.,Prevent falls from playground structures.,Serious,Scenario,Climb only designated parts under adult supervision.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Running Into Others,You run without looking and bump into another child.,Unsafe behavior,Look around and avoid running near others.,Teach children awareness of others while moving.,Friendly,Instruction,"Stop, apologize if bumped, and continue safely.",1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Handling of Balls,You throw a ball toward someone without warning.,Unsafe behavior,Warn others before throwing and aim safely.,Prevent accidents during ball games.,Friendly,Instruction,Throw balls safely and consider others’ positions.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Going to Unfamiliar Areas,You see a trail leading away from the playground and want to explore.,Unsafe behavior,Stay in familiar areas where adults can see you.,Teach children to stay in safe areas outdoors.,Serious,Scenario,Return to the visible playground area immediately.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Holding of Toys,You run with sharp or heavy toys in hand.,Unsafe behavior,Do not run with objects that can hurt you or others.,Teach children safety with objects during play.,Instructional,Scenario,Carry toys safely while walking.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Picking Up Sticks,You want to throw sticks at friends or pets.,Unsafe behavior,Do not throw sticks; use safe toys instead.,Prevent injuries from sticks or sharp objects.,Instructional,Scenario,Play with safe toys under supervision.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Use of Slides,You go down a slide headfirst.,Unsafe behavior,Go down feet first and sitting properly.,Prevent injuries on slides.,Instructional,Scenario,Sit and slide feet first with adult guidance.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Running on Steps,You want to run up and down playground steps.,Unsafe behavior,Walk on steps to avoid falls.,Teach children safe use of playground stairs.,Instructional,Scenario,Walk slowly and hold railings if needed.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Playing With Friends,You want to push a friend off a swing.,Unsafe behavior,Never push others; play safely.,Teach children safe physical play.,Friendly,Instruction,Swing safely and encourage friends to do the same.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Chasing Objects on Streets,Your toy rolls onto the road and you chase it.,Unsafe behavior,Ask an adult to retrieve the toy.,Teach children to avoid traffic hazards.,Serious,Scenario,Stay on the sidewalk and call an adult.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Running on Gravel,You want to run quickly across a gravel path.,Unsafe behavior,Walk carefully to avoid slipping or falling.,Teach children awareness of unstable surfaces.,Instructional,Scenario,Move slowly and ask an adult for guidance.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Interaction with New Children,A new child comes to play and you want to take their toy.,Unsafe behavior,Ask politely or let an adult help share toys.,Teach children safe social interactions.,Friendly,Scenario,Wait your turn and involve an adult if needed.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Climbing Trees Alone,You see a tree and want to climb without help.,Unsafe behavior,Do not climb trees alone; ask an adult.,Prevent falls and injuries outdoors.,Serious,Scenario,Wait for an adult to supervise if climbing is allowed.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Handling of Playground Toys,You swing a toy near other children.,Unsafe behavior,Keep toys close and play gently around others.,Prevent injuries during group play.,Friendly,Instruction,Use toys safely in your space.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Eating Unknown Objects,You pick up berries or leaves and want to eat them.,Unsafe behavior,Never eat unknown items; tell an adult.,Prevent poisoning and choking hazards.,Serious,Scenario,Show the object to an adult without touching it.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Walking on Paths,You run across a narrow path where people walk.,Unsafe behavior,Walk carefully to avoid bumping into others.,Teach children consideration for others and self-safety.,Friendly,Instruction,Move carefully and watch where you walk.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Climbing on Rocks,You see rocks near the playground and want to climb them.,Unsafe behavior,Do not climb rocks; play on safe surfaces.,Prevent falls and injuries.,Serious,Scenario,Play in safe designated areas with adult supervision.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Use of See-Saws,You try to jump on a moving see-saw.,Unsafe behavior,Sit properly and use see-saws gently.,Teach children safe use of see-saws.,Instructional,Scenario,Sit with both hands holding the handles.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Chasing Friends Too Roughly,You chase a friend while pushing them.,Unsafe behavior,Run gently and avoid pushing friends.,Teach safe physical play with peers.,Friendly,Instruction,Play without touching or hurting others.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Drinking from Bottles,You take a bottle from another child without asking.,Unsafe behavior,Only drink from your own bottle or with adult permission.,Teach children hygiene and safety with shared items.,Instructional,Scenario,Ask an adult before taking any item from others.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Climbing Slides,You want to climb up the slide surface instead of using stairs.,Unsafe behavior,Always use stairs to climb slides safely.,Prevent falls and injuries on slides.,Instructional,Scenario,Climb using stairs under adult supervision.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Staying in Play Area,You want to run out of the playground alone.,Unsafe behavior,Stay within areas where adults can see you.,Teach children the importance of visibility for safety.,Serious,Scenario,Return to visible play area immediately.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Jumping From Heights,You try to jump from a climbing frame or elevated platform.,Unsafe behavior,Do not jump from heights; climb down safely.,Prevent injuries from falls.,Serious,Scenario,Climb down safely with adult supervision.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Use of Ride-On Toys,You ride a scooter or tricycle into other children.,Unsafe behavior,Ride safely and avoid collisions.,Teach children to navigate shared spaces safely.,Instructional,Scenario,Watch others and ride in open areas safely.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Swinging Too High,You try to swing dangerously high without adult supervision.,Unsafe behavior,Swing safely within normal limits.,Prevent falls from swings.,Instructional,Scenario,Swing at safe heights with adult supervision.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Interaction With Playground Equipment,You push another child off a climbing frame.,Unsafe behavior,Never push others; play safely on equipment.,Teach safe interaction with playground structures.,Friendly,Instruction,Use equipment safely and encourage friends to do the same.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Running Into Garden Tools,You see a rake or shovel and run near it.,Unsafe behavior,Do not run near tools; stay in safe play areas.,Prevent injuries from sharp or heavy objects outdoors.,Serious,Scenario,Move away from tools and alert an adult.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Playing Around Sand Pits,You throw sand at another child.,Unsafe behavior,Play gently and keep sand inside the pit.,Prevent injuries and teach gentle play.,Friendly,Instruction,Use sand toys carefully and follow rules.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Climbing Walls,You want to climb the low wall surrounding the playground.,Unsafe behavior,Do not climb walls; play on safe areas.,Prevent falls and injuries.,Instructional,Scenario,Play on ground-level playground areas.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Use of Slide Steps,You push other children while climbing steps to the slide.,Unsafe behavior,Wait your turn and climb carefully.,Teach children proper climbing etiquette and safety.,Friendly,Instruction,Climb steps slowly and wait your turn.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Running on Wet Grass,You run across wet grass after rain.,Unsafe behavior,Walk carefully to avoid slipping.,Teach children awareness of slippery surfaces.,Instructional,Scenario,Move slowly and carefully on wet grass.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Observation of Wildlife,You see a bird or squirrel and try to chase it.,Unsafe behavior,Observe wildlife from a distance without chasing.,Teach children safe interaction with animals.,Friendly,Scenario,Watch animals quietly and ask an adult for guidance.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Throwing Rocks,You pick up small stones and want to throw them.,Unsafe behavior,Do not throw rocks; use safe toys instead.,Prevent injuries from thrown objects.,Instructional,Scenario,Play with balls or soft toys safely.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Standing on Swings,You try to stand on a moving swing.,Unsafe behavior,Sit properly and hold ropes tightly.,Prevent falls from swings.,Instructional,Scenario,Sit down with hands on the ropes while swinging.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Running Into Playground Equipment,You run without looking and bump into a climbing frame.,Unsafe behavior,Watch where you run and avoid collisions.,Teach children awareness of surroundings.,Friendly,Instruction,Walk carefully and check for obstacles.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Play During Rain,You want to play in puddles without shoes.,Unsafe behavior,Avoid puddles to prevent slipping and cold exposure.,Teach children safety in wet conditions.,Instructional,Scenario,Wear shoes and play on dry surfaces.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Running Into Trees,You run quickly through the playground and almost hit a tree.,Unsafe behavior,Look ahead and avoid obstacles while running.,Teach children awareness of obstacles.,Instructional,Scenario,Stop and navigate safely around obstacles.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Sitting on Playground Benches,You want to stand or jump off benches.,Unsafe behavior,Sit properly and do not jump off.,Prevent falls and injuries on playground benches.,Instructional,Scenario,Sit and stay on the bench safely.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Running With Objects,"You run holding sticks, toys, or other objects.",Unsafe behavior,Walk carefully when holding items.,Prevent injuries from tripping or collisions.,Instructional,Scenario,Hold objects safely and walk instead of running.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Playing Around Pets,You approach an unknown dog at the playground.,Unsafe behavior,Do not approach unknown animals; tell an adult.,Teach children safe interaction with animals.,Serious,Scenario,Stay away and call an adult to handle the situation.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Throwing Sand or Dirt,You throw sand or dirt at friends while playing.,Unsafe behavior,Keep sand and dirt in safe areas and play gently.,Prevent injuries and maintain safe play environment.,Friendly,Instruction,Use toys safely and avoid throwing materials.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Climbing of Playground Ladders,You climb a ladder too fast without holding the rails.,Unsafe behavior,Climb slowly and hold onto rails.,Teach safe climbing habits.,Instructional,Scenario,Hold the rails and climb carefully with adult supervision.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Taking Items From Strangers,Someone you don’t know offers candy or toys.,Unsafe behavior,Never take anything from strangers; tell an adult.,Teach children stranger safety.,Serious,Scenario,Walk away and inform a trusted adult immediately.,2,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Running Near Swinging Objects,You run near a child who is swinging a rope or toy.,Unsafe behavior,Stay clear of swinging objects and watch where you run.,Prevent accidental hits and injuries.,Instructional,Scenario,Step aside and wait until the swing is done.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Interaction With Friends on Swings,You try to jump off the swing while another child is nearby.,Unsafe behavior,Sit properly until the swing stops and ensure others are clear.,Prevent collisions and injuries.,Instructional,Scenario,Wait until area is clear and swing safely.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Walking on Play Structures,You walk on the top of slides or bridges.,Unsafe behavior,Walk only on designated paths and areas.,Prevent falls and injuries.,Instructional,Scenario,Use steps or safe walkways under adult supervision.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Running Into Small Objects,You run without looking and step on sticks or toys.,Unsafe behavior,Watch where you run and avoid tripping hazards.,Teach awareness of surroundings.,Instructional,Scenario,Move slowly and pick up small objects with adult help.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Play Around Hedges and Bushes,You run through bushes and thorny plants.,Unsafe behavior,Avoid bushes and stick to clear paths.,Prevent scratches and minor injuries.,Instructional,Scenario,Play in open areas under supervision.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Picking Up Trash,You see litter and try to pick it up without gloves or adult supervision.,Unsafe behavior,Do not touch trash; ask an adult for help.,Teach children hygiene and safety outdoors.,Serious,Scenario,Show trash to an adult to handle safely.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Riding of Tricycles,You ride a tricycle too fast near other children.,Unsafe behavior,Ride at safe speeds and watch others.,Prevent collisions during ride-on play.,Instructional,Scenario,Slow down and ride carefully.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Avoid Climbing Fences,You try to climb the playground fence.,Unsafe behavior,Do not climb fences; play inside safe areas.,Prevent falls and injuries.,Serious,Scenario,Stay inside designated playground boundaries.,1,"['Child safety NGO', 'Preschool teacher']"
4–5,Outdoor,Safe Behavior on Play Bridges,You run across a narrow playground bridge.,Unsafe behavior,Walk carefully and hold rails if present.,Teach children safe bridge use.,Instructional,Scenario,Move slowly and hold onto rails.,1,"['Child safety NGO', 'Preschool teacher']"
